paper_id,pmid,title,evidence_tier,evidence_type,directness,target_centrality,evidence_summary,supporting_text_locator,query_feedback_signal,review_confidence
pmid-41938780,41938780,Host restriction factors and p17-Driven inflammaging in HIV-1: From molecular pathogenesis to functional cure.,direct,ptm_degradation,direct_target,central,"e investigation (Table 1A). Tat is mostly recognized for its transactivation of HIV-1 transcription and its ability to induce proinflammatory cytokines through NF-κB activation; its production is largely dependent on active viral transcription and appears to be substantially reduced, though not necessarily eliminated, during effective cART [12]. Nef's immunomodulatory functions, including MHC-I downregulation and CD4 degr",The pathophysiological basis of SNAEs: The significance of chronic inflammation and immunometabolism,none,high
pmid-41931620,41931620,Phospholipid-driven conformational switching of HCV NS5A links protein folding to replication membrane remodeling.,direct,localization_retention,direct_target,central,"ls. Previous crystal structures suggested an internal hydrogen bond linking residues 117 and 166 (Fig. 1B bottom), folding the C terminus of D1 into a putative RNA binding groove (Fig. 2A, inset) (8, 9, 15). However, these structures were derived from truncated constructs and likely miss membrane-driven conformational states. In this study, we focused on dissecting the biological mechanisms governing NS5A-phospholipid interacti",INTRODUCTION,none,medium
pmid-41931390,41931390,Host microRNA-31-5p regulates KHDRBS3 expression and modulates viral gene expression during KSHV lytic reactivation.,direct,localization_retention,direct_target,central,"ve been shown to regulate the life cycle and pathogenesis of human herpesviruses either through direct action on viral gene expression or through modulation of host factors and pathways important for successful viral infections and persistence.14–16 For instance, a host miRNA, miR-373, promotes herpes simplex virus type 1 (HSV-1) replication by directly targeting interferon (IFN) regulatory factor 1 (IRF1), a transcriptional act",INTRODUCTION,none,medium
pmid-41891723,41891723,Galectin-9 is a restrictor of infection with multiple enteroviruses.,indirect,localization_retention,pathway_or_context,supporting,"a common variant of Gal-3, may exert a protective effect (15). Gal-9 has two CRDs connected by a linker domain. Gal-9 has six isoforms generated by alternative splicing: full, Δ5, Δ5/6, Δ5/10, Δ5/6/10, and Δ6. Their molecular weights range from 25 to 39 kDa (16). It is encoded by the LGALS9, which is ubiquitously expressed in various tissues and cells (17), especially in the lymphatic and digestive systems (18, 19). The over",INTRODUCTION,reviewer_calibration,medium
pmid-41805193,41805193,Repression of EEF1D by KSHV RTA promotes viral lytic reactivation.,direct,ptm_degradation,direct_target,central,"y, the viral episome is tethered to host chromosomes, enabling persistence with limited antigen expression and immune evasion (6–13). Various environmental and host factors, including hypoxia, oxidative stress, immune dysregulation, and inflammatory signals, can trigger reactivation into the lytic cycle (14–18). Lytic replication involves the temporally ordered expression of immediate-early, early, and late genes, leading to vir",INTRODUCTION,none,high
pmid-41772600,41772600,TARDBP as a regulator of HIV-1 assembly and infection: a review of targeting the viral capsid precursor Pr55Gag and limiting viral core entry.,direct,ptm_degradation,direct_target,central,"r (Sunlenca®) [8–17]. This new drug selectively binds to the hexamer subunits of the HIV-1 CA protein, disrupting the viral core lattice and impairing both the nuclear import of viral DNA and viral CA generation [11–16], thereby acting at the early and late stages of the HIV life cycle. In contrast, to the recent development of CA-targeted antivirals, CA-targeted restriction of retroviruses by host proteins has long been establis",HIV-1 Pr55Gag as antiviral target,none,medium
pmid-41717286,41717286,microRNA-422a promotes HIV replication and innate immune evasion by targeting MECP2.,direct,ptm_degradation,direct_target,central,"ses are observed in elite controllers, people living with HIV (PLWH) who control HIV to undetectable levels in the absence of ART, providing a template for how innate immune-based therapies may be implemented to achieve a functional cure.3,4,5 Type 1 interferons (IFN-I) are among the earliest innate responses to infection and play an essential role in antiviral activity.6 During acute HIV-1 infection, robust concentrations of IF",Introduction,none,medium
pmid-41617468,41617468,RK-33 inhibits the OC43 coronavirus and induces stress granules via DDX3X-independent mechanisms.,indirect,localization_retention,pathway_or_context,supporting,"ce their efficacy, necessitating continual updates to the therapy (Wang et al. 2021a; Liu et al. 2022; Stevens et al. 2022; Iketani et al. 2023). Targeting key host proteins that exert proviral activity during infection may overcome this limitation and provide broad-spectrum protection to future viral threats (Chitalia and Munawar 2020; Li et al. 2023). Dozens of host proteins that may participate in the life cycle of coronavirus",INTRODUCTION,reviewer_calibration,medium
pmid-41565204,41565204,Multiomics Analysis of Arboviral Capsid Targets in Mosquitoes Reveals a Proviral Function of the Chromatin-Remodeling Brahma Complex.,indirect,localization_retention,pathway_or_context,supporting,"stance gene via the NcoI and EcoRI sites, using standard molecular biology methods. Subsequently, sequences containing the N-terminally FLAG-tagged Ae. aegypti host factor Moira (VectorBase identity [ID]: AAEL022608) or eGFP were introduced into the pPUb-PuroR-2A2A vector via the Avrll and FseI sites (New England Biolabs), and the resulting recombinants were transformed into Stbl3-competent E. coli. All plasmid DNA insert seque",Plasmids,reviewer_calibration,medium
pmid-41420694,41420694,The role of homologous recombination in human retrovirus-associated diseases.,indirect,ptm_degradation,pathway_or_context,supporting,"iously unrecognized role for the tumor suppressor protein BRCA1 in the context of HIV-1 infection. The authors demonstrate that BRCA1 acts as a transcriptional cofactor that enhances HIV-1 gene expression, particularly by cooperating with the viral transactivator Tat [28]. BRCA1 was shown to localize to the HIV-1 long terminal repeat (LTR) promoter region and facilitate Tat-mediated transactivation, suggesting it contributes",The role of BRCA1 and BRCA2 in retrovirus infection,reviewer_calibration,medium
pmid-40466758,40466758,Voxtalisib inhibits enterovirus 71 replication by downregulating host RAN and restoring IFN-STAT signaling.,indirect,localization_retention,pathway_or_context,supporting,"specificity, the rapid emergence of drug resistance, and a lack of broad-spectrum efficacy [11]. In contrast, host-targeting antivirals (HTAs), which modulate host factors essential for viral replication, offer broader antiviral potential and a lower propensity for resistance [12], [13], [14], [15]. Yet, no specific host-targeting antiviral therapy has been approved for HFMD treatment, primarily due to the lack of well-defined",Introduction,reviewer_calibration,medium
pmid-41600775,41600775,Arf GTPases Define BST-2-Independent Pathways for HIV-1 Assembly and Release.,direct,localization_retention,direct_target,central,"chemical properties of Gag are sufficient for particle formation in heterologous expression systems, increasing evidence highlights the importance of host cell trafficking pathways and cytoskeletal networks in regulating Gag localization and virion egress [15,16,17,18]. Small GTPases of the ADP-ribosylation factor (Arf) family are key regulators of membrane traffic and vesicle biogenesis, particularly in the context of Golgi an",1. Introduction,none,medium
pmid-41414674,41414674,The human chromatin remodeling complex p400 restricts HIV-1 transcription in a Tat-dependent manner.,direct,localization_retention,direct_target,central,"into the mechanistic basis of p400-mediated repression, particularly its interaction with Tat. Multiple p400 subunits have been reported as Tat interactors by mass spectrometry (MS), including EP400, DMAP1, TRRAP, BAF53A, RUVBL1, RUVBL2, GAS41, and KAT5 [60]. In HEK293T cells, Tat co-purified with RNAPII, KAT5, DMAP1, EP400, and GAS41 (Supplementary Fig. S4C). Stable knockdown of DMAP1 significantly reduced Tat co-purification of EP","The p400 subunit DMAP1 interacts with Tat, while EP400 engages the RNAPII CTD",none,high
pmid-41404188,41404188,Immune-Related Protein and Non-Coding RNA Cargo of Extracellular Vesicles Participate in the Chronic Inflammation Induced by HIV Infection.,direct,ptm_degradation,direct_target,central,"from PLWH exert a stronger influence on the inflammatory profile of bystander immune cells, further supporting their relevance in immune dysregulation. Through interactome analysis, we propose that the presence of miR‐4433b‐3p and proteins such as FBXO7, C3, SUGT1 and DTX3L may be linked to immune dysregulation by modulating key pathways such as NF‐kappa B (NF‐κB) signalling and phosphatidylinositol 3‐kinase/protein kinase B‐PK",Introduction,none,high
pmid-41359666,41359666,SAMD9L inhibits flavivirus translation independently of its capacity to trigger innate immune response.,indirect,localization_retention,pathway_or_context,supporting,"The interferon (IFN) response is a pivotal component of the innate immune system, playing a critical role in the defense mechanisms against viral infections. Upon detection of viral pathogens by pattern recognition receptors (PRRs), infected cells secrete type I interferons",Introduction,reviewer_calibration,low
pmid-41332748,41332748,Dengue Virus NS1 Binds Ephrin B1 to Trigger Endothelial Dysfunction.,direct,localization_retention,direct_target,central,"07Q mutant and WNV NS1 do not induce barrier dysfunction in human microvascular pulmonary endothelial cells (HPMECs) due to a failure to interact with critical host proteins. To identify functionally important host factors interacting with DENV NS1, we generated recombinant NS1 proteins that were C-terminally tagged with a hemagglutinin (HA) sequence (Fig. 1a, Fig S1a). In addition to the wildtype version of DENV NS1-HA (WT NS1HA",DENV NS1 selectively interacts with host factors involved in intracellular signaling.,none,high
pmid-41301405,41301405,Non-Vesicular Extracellular Particle (NVEP) Proteomes from Diverse Biological Sources Reveal Specific Marker Composition with Varying Enrichment Levels.,indirect,localization_retention,pathway_or_context,supporting,"s perspective is premised on the high degree of protein conservation between different model systems and proteomes. In this study, we used unbiased comparative proteomics and bioinformatics approaches to provide a snapshot of extracellular proteins associated with NVEPs isolated from various samples and species, including human semen, the rat brain, and the rhesus macaque (RM) brain and blood",1. Introduction,reviewer_calibration,medium
pmid-41292925,41292925,"Mechanism of Phosphatidylserine Lipid Scrambling by Human SERINC3, an HIV-1 Restriction Factor.",direct,interaction_cofactor,direct_target,central,No decisive in-scope host-pathogen mechanism passage found in normalized text.,body,none,medium
pmid-41283654,41283654,HIV-2 glycoproteins upregulate microRNAs 25 and 93 to counter the MARCH1 antiviral effect in macrophages.,direct,ptm_degradation,direct_target,central,"ediate virus entry into the host cell (1). Among them are members of the membrane-associated RING (really interesting new gene)-CH (MARCH) protein family of E3 ubiquitin ligases (2). Besides having important roles in the cell, such as the plasma membrane turnover and trafficking of MHC class II molecules (3), MARCH proteins inhibit the incorporation of viral envelope glycoproteins into nascent virions (4, 5). Indeed, MARCH pr",INTRODUCTION,none,medium
pmid-41252368,41252368,Disrupted glycosylphosphatidylinositol anchoring induces ER stress and restricts enterovirus infection.,indirect,localization_retention,pathway_or_context,supporting,"us have revealed that the structures of the ROs are dynamic, with single-membrane tubules predominant at early stages of infection, followed by double membrane vesicle (DMV) and multiple-membrane structures [6,7]. These membrane structures are thought to be derived from endoplasmic reticulum (ER) or Golgi complex [5,8–10]. A large number of viruses have been shown to co-opt and remodel ER membranes to establish their repli",Introduction,reviewer_calibration,medium
pmid-41196352,41196352,HIV-1 Vif and Vpr cooperatively modulate the cell cycle to maximize per-cell virion production.,direct,ptm_degradation,direct_target,central,"in vivo HIV-1 infection, with our findings summarized in SI Appendix, Fig. S6. Vif is essential for HIV-1 replication due to its function of degrading the host restriction factor, APOBEC3G. However, Vif also induces a potent metaphase cell cycle arrest that, in the absence of Vpr, can be highly toxic to cycling cells such as activated CD4+ T cells. Vpr’s capacity to delay G2 phase and then bypass mitosis through endoreplication drivin",Discussion,none,medium
pmid-41066524,41066524,Murine leukemia virus glycoGag antagonizes SERINC5 via ER-phagy receptor RETREG1.,indirect,ptm_degradation,pathway_or_context,supporting,"g) are two unrelated accessory proteins expressed from human immunodeficiency virus type 1 (HIV-1) or murine leukemia virus (MLV), but antagonize the same host restriction factor, serine incorporator 5 (SERINC5), that strongly blocks virus entry [1]. SERINC5 (Ser5) was originally discovered in human T cells that restricts HIV-1 infection in a Nef-sensitive manner [2,3]. Ser5 also restricts MLV and other enveloped viruses [4–11]. Huma",Introduction,reviewer_calibration,medium
pmid-41060092,41060092,Human cytomegalovirus UL78 is a nuclear-localized GPCR necessary for efficient reactivation from latent infection in CD34(+) hematopoietic progenitor cells.,exclude,ptm_degradation,incidental,incidental,"contain a DRL motif located within the second intracellular loop (ICL2), which is suspected to be necessary for G-protein coupling. UL78 family members undergo endocytosis from the cell surface like many GPCRs. However, only HHV U51 has been shown to bind chemokines and induce migration (17–20). UL78, R78, and M78 remain orphan GPCRs with no known ligands, and recent structural analysis suggests that UL78 forms homotrimers that",INTRODUCTION,tighten_query,high
pmid-41053097,41053097,The Hippo terminal effector YAP boosts enterovirus replication in type 1 diabetes.,background,ptm_degradation,incidental,incidental,"es hijack the cellular machinery and signaling pathways. While external and internal receptors for enterovirus entry and sensing are known21,22, the endogenous host factor(s), their regulation in response to virus infections, and the molecular mechanisms which lead to excessive stimulation of the immune system remain elusive. Pathways which regulate host’s cellular survival and proliferation may allow a virus to attack the cell",Introduction,tighten_query,medium
pmid-41037638,41037638,Identification of claudin-3 as an entry factor for rat hepacivirus.,background,localization_retention,incidental,incidental,"y formation is shown in Table 1. These findings suggest that AML12 cells are incapable of supporting NRHV1 replication. Liver-specific miR-122 is a well-known host factor responsible for HCV replication, since exogenous expression of miR-122 can allow HCV replication in some cell lines that do not allow HCV replication (32, 33). Given that NRHV1 replication is also dependent on miR-122 (11), we transduced AML12 cells with a le",NRHV1 Replication in Rodent Cells and Antiviral Agents Against NRHV1.,tighten_query,medium
pmid-41031002,41031002,IFN-inducible Human Phospholipid Scramblase 1 (PLSCR1) Protein Restricts HIV-1 Infection by Inhibiting Membrane Fusion.,direct,localization_retention,direct_target,central,"ion is restricted is currently unknown. Infection of HIV and related lentiviruses is limited by numerous host restriction factors, including APOBEC3G, TRIM5α, Tetherin, SAMHD1, IFITM, MxB, SERINC and TIM (12–15). Herein, we investigated the role of PLSCR1 in HIV-1 infection in various cells, including the SupT1 T cell line and purified CD4+ T cells. We found that PLSCR1 inhibits HIV-1 entry and cell-to-cell transmission by",INTRODUCTION,none,medium
pmid-41006235,41006235,A protein-proximity screen reveals Ebola virus co-opts the mRNA decapping complex through the scaffold protein EDC4.,direct,localization_retention,direct_target,central,"and genomic replication initiate following virus entry and uncoating. EBOV replication depends on the multifunctionality of its own proteins as well as virus-host protein interactions to successfully replicate and evade host antiviral responses. Through interactions with NP, VP35 influences the assembly of viral inclusion bodies4,7. VP35 caps the blunt end of viral dsRNA, preventing detection by RIG-I sensing and concurrent IF",Introduction,none,high
pmid-41004226,41004226,IFN-inducible human phospholipid scramblase 1 (PLSCR1) protein restricts HIV-1 infection by inhibiting membrane fusion.,direct,localization_retention,direct_target,central,ing receptor/coreceptor organization. Further investigation is warranted to elucidate the precise molecular and biophysical mechanisms by which PLSCR1 inhibits viral entry and fusion.,Results and Discussion,none,medium
pmid-40982696,40982696,Ebola virus VP35 NNLNS motif modulates viral RNA synthesis and MIB2-mediated signaling.,direct,ptm_degradation,direct_target,central,"ols. Western blot (WB) analysis revealed that MIB2 specifically coprecipitated with HA-eVP35 and not with NP-HA or HA-VP30 (Fig. 1B). These results confirm the proteomics results (25, 26) and the specificity of the eVP35–MIB2 interaction. eVP35 also binds dsRNA (16, 17), and to eliminate the possibility that RNA contributes to the interaction between eVP35 and MIB2, we tested an eVP35 dsRNA-binding mutant containing K319A and",eVP35 Binds MIB2.,none,high
pmid-40878534,40878534,Exploring the Structural Divergence of HIV and SRLV Lentiviral Capsids.,direct,ptm_degradation,direct_target,central,"oligomers (capsomeres)6,7 to create the multifunctional capsid which protects the viral genome from host defenses and promotes proviral binding partners during trafficking of the genome into the nucleus.8-11 In primate lentiviruses, such as HIV-1, the positively charged capsomere central pore residues R18 and K25 are essential for capsid morphology and function.12-14 Recent studies have detailed how the negatively charged smal",INTRODUCTION,none,medium
pmid-40839751,40839751,"Involvement of endolysosome iron in HIV-1 gp120-, morphine-, and iron supplementation-induced disruption of the reactive species interactome and induction of neurotoxicity.",direct,localization_retention,direct_target,central,"ersing the pathogenesis of HAND and other neurodegenerative disorders [5,8–10] possibly due to the involvement of other reactive species. The reactive species interactome (RSI) is a relatively new concept that in addition to ROS includes reactive sulfur species (RSS), reactive nitrogen species (RNS), and reactive carbonyl species (RCS); along with their downstream biological targets [8,9]. HIV-1 gp120 affects individual levels",Introduction,none,high
pmid-40809086,40809086,RNA-interactome capture identifies SRSF3 as a key protein for herpesviral gene expression.,indirect,localization_retention,pathway_or_context,supporting,"Viruses have evolved different strategies to ensure efficient viral gene expression. For example, many nuclear viruses use alternative splicing to expand their coding capacity (1, 2). The process of splicing merges exons into a continuous reading frame while also recruiting nuclear export factors to the nascent transcripts (3, 4). However, the majority of genes in herpesviruses are intronless (5). In",Introduction,reviewer_calibration,medium
pmid-40791341,40791341,Human RPL7 and DDX21 interact with HTLV-1 Gag and enhance tRNA(Pro) primer annealing to genomic RNA.,indirect,localization_retention,pathway_or_context,supporting,"ing signal (Psi) located in the HIV-1 5' UTR (14). In contrast, MA demonstrates stronger RNA chaperone activity and plays a more prominent role in specific Psi RNA binding than NC in deltaretroviruses, including bovine leukemia virus (BLV), HTLV-1 and HTLV-2, (15-17). In our previous study, we found that HTLV-1 uses a specific tRNAPro isodecoder as the RT primer (18). However, the viral and/or host factors required for tRNAPro",Introduction,reviewer_calibration,medium
pmid-40777377,40777377,Ebola virus VP35 NNLNS motif modulates viral RNA synthesis and MIB2-mediated signaling.,direct,ptm_degradation,direct_target,central,"al protein 30 (VP30), viral protein 24 (VP24), and large (L) polymerase.3,8 Of these, the EBOV VP35 (eVP35) protein, produced from the VP35 gene, is a critical cofactor for both viral genomic replication and transcription as well as for mediating viral innate immune antagonism. The eVP35 N-terminal region contains an NP binding peptide (NPBP), which regulates NP oligomerization and ssRNA binding, followed by an oligomerizati",INTRODUCTION,none,high
pmid-40759332,40759332,Adaptor protein complex 1 gamma 1 subunit is an important host factor involved in both Zika virus and dengue virus infections.,direct,localization_retention,direct_target,central,". The virus attaches to the cell surface by interacting with specific cell surface receptors. Subsequently, the virus enters the cell through clathrin-mediated endocytosis or a non-classical clathrin-independent pathway, both of which facilitate the internalization of viral particles into the host cell (Cruz-Oliveira et al., 2015; Sirohi and Kuhn, 2017). Upon exposure to the acidic endosomal environment, flavivirus particles tr",Introduction,none,medium
pmid-40742131,40742131,HIV-1 Vpu interacts with RBM10 to promote HIV-1 infection.,direct,ptm_degradation,direct_target,central,"duals worldwide were living with HIV by the end of 2024 (1). The pathogenesis of HIV-1 infection encompasses complex interactions between viral replication and host factors, which serve as critical determinants of disease outcome. Elucidating these intricate virus-host interactions is essential for both understanding HIV-1 pathogenesis and developing next-generation therapeutic strategies. Nevertheless, the nature of these inter",INTRODUCTION,none,high
pmid-40736249,40736249,Membrane protein CRISPR screen identifies RPSA as an essential host factor for porcine epidemic diarrhea virus replication.,indirect,localization_retention,pathway_or_context,supporting,"y, most commercial vaccines are insufficient to provide effective protection against the prevalent PEDV mutant strains of the GII genotype (4, 5). Although the host factors involved in PEDV-host interactions are important targets for drug development and gene-editing breeding, they remain unclear, which hinders the development of countermeasures against PED (6). Therefore, a comprehensive understanding of the host factors and pa",INTRODUCTION,reviewer_calibration,medium
