paper_id,pmid,title,evidence_tier,evidence_type,directness,target_centrality,evidence_summary,supporting_text_locator,query_feedback_signal,review_confidence
pmid-42230819,42230819,BST-2 inhibits SARS-CoV-2 egress at intracellular membranes and is neutralized by ORF7a.,indirect,ptm_degradation,pathway_or_context,supporting,"Bone marrow stromal antigen 2 (BST-2), also known as tetherin or CD317, is an interferon-inducible transmembrane protein that acts as a broad-spectrum antiviral restriction factor. It inhibits the release of a wide range of enveloped viruses by physically tethering budding virions to the host ce",Introduction,reviewer_calibration,medium
pmid-42205581,42205581,Molecular arms races at the virus-host splicing interface and their pathogenic implications.,indirect,localization_retention,pathway_or_context,supporting,"The discovery of RNA splicing in Adenovirus serotype 2 in 1977 marked a watershed moment in molecular biology, overturning the “one gene, one polypeptide” dogma and revealing the discontinuous nature of eukaryotic genes (Berget et al., 1977; Chow et al., 1977a,b). At the time, while molec",Introduction,reviewer_calibration,medium
pmid-42201028,42201028,Endostemonine I as a Multi-Target Inhibitor of Kaposi's Sarcoma-Associated Herpesvirus Oncogenic Pathways: An Integrative Computational Study.,direct,ptm_degradation,direct_target,central,"acerbate disease severity and complicate treatment [7]. The host immune system plays a central role in controlling KSHV infection through T-cell surveillance, interferon signaling, and natural killer (NK) cell activity. KSHV, however, evades these defenses via viral interferon regulatory factors (vIRFs), vFLIP, and viral microRNAs, which inhibit apoptosis, disrupt interferon pathways, and promote latency [1,3,8]. KSHV has a b",1. Introduction,none,medium
pmid-42198716,42198716,"Rapid Construction and Characterization of Infectious cDNA Clones and Reporter Viruses of Enteroviruses, Including Enterovirus A71 and Coxsackievirus B5, with Systematic Identification of Critical Determinants for Successful Reporter Virus Generation.",direct,localization_retention,direct_target,central,"ases [20]. However, the molecular mechanisms for the pathogenesis are largely unknown. Infectious clone is a common reverse genetic tool for studying the virus functional genomics. It would benefit the development of vaccines and antiviral drugs against the RNA viruses. Many infectious cDNA clones of enteroviruses have been successfully constructed, including our and other groups’ described EV-A71 [21,22,23], CA6 [24], CA10 [25], CA16",1. Introduction,none,high
pmid-42196548,42196548,Multi-Omics Landscape of Circadian Clock Dysregulation Across the Chronic Liver Disease Spectrum.,indirect,ptm_degradation,pathway_or_context,supporting,"of the regulatory landscape. Approximately half of all rhythmically abundant liver proteins lack a correspondingly rhythmic mRNA, as established in mouse liver proteomics studies [18]. This post-transcriptional decoupling indicates that transcript-level measurements substantially underestimate the functional circadian proteome. In mouse liver, approximately 25% of quantified phosphorylation sites oscillate with a 24-h period,",1. Introduction,reviewer_calibration,medium
pmid-42174376,42174376,Development of a Lysine-Reactive Targeted Covalent Inhibitor for the P300/CBP-Associated Factor Bromodomain Through Structure-Based Design.,indirect,interaction_cofactor,pathway_or_context,supporting,"Our two lead molecules, 5 (Figure 1) and an improved sulfonylfluoride discussed below, were shown to covalently label the PCAF bromodomain using intact protein mass spectrometry. Tandem mass spectrometry confirmed that these molecules label the unique K753 in the PCAF bromodomain. Given the low reactivity of 5, we advanced with the sulfonylfluoride and assessed its ability to engage PCAF in biophysical and cellular assays. This work",Introduction,reviewer_calibration,medium
pmid-42156374,42156374,An engineered viral RNA degrader on mitochondrial surface that mitigates RNA virus infection.,background,localization_retention,incidental,incidental,"outbreak of infection3–7. Moreover, many RNA viruses still lack vaccine and drug for managing infection. A number of studies have been performed to screen the host factors hijacked by virus for viral propagation8–11. Targeting these host factors might be developed for anti-virus treatments. However, other host factors that restrain viral replication are often missing in the screening. Increasing expression of such factors could",Introduction,tighten_query,medium
pmid-42149916,42149916,Acetylation-mediated regulation of ALV viral proteins: Implications for retroviral inhibition.,indirect,localization_retention,pathway_or_context,supporting,"significant PTMs. Although KAc was first identified over six decades ago, its functional characterization remained limited until recent years, when advances in proteomics and molecular biology spurred a surge in research [27]. KAc is now recognized as a key regulator of diverse biological processes, including transcriptional regulation, metabolic reprogramming, and protein stability. This reversible and dynamic modification is",Introduction,reviewer_calibration,medium
pmid-42149692,42149692,An integrative meta-analysis of SARS-CoV-2 RNA-protein interactomes identifies conserved host factors shared with other RNA viruses.,indirect,ptm_degradation,pathway_or_context,supporting,"eutic solutions [3, 4]. The life cycle of RNA viruses relies heavily on host cell molecules to compensate for their limited coding capacity. In response, host innate immune mechanisms have evolved to detect viral RNAs and replication intermediates, triggering antiviral defenses [5, 6]. Specifically, the host system recognizes unconventional molecular signatures such as 5′ triphosphates and double-stranded RNA to suppress viral g",Introduction,reviewer_calibration,medium
pmid-42148122,42148122,Transcriptomic and bioinformatics analysis reveals the host response feature and potential treatment strategy of patients with dengue fever.,direct,localization_retention,direct_target,central,"on (4). Intriguingly, DENV employs multiple mechanisms to evade the host’s innate and adaptive immune responses, thereby establishing infection (5). Activating type I interferon (IFN) results in antiviral activity, a typical immune response against DENV. However, DENV nonstructural proteins can block IFN signaling pathways after virus recognition, even subvert apoptosis to ensure viral replication in the early stage of the DENV invas",Introduction,none,medium
pmid-42139316,42139316,Characterization of the virus-host RNA-RNA interactome across important human pathogenic RNA viruses.,indirect,ptm_degradation,pathway_or_context,supporting,"encephalitis virus (EEEV), an emerging mosquito-borne alphavirus, which is repressed by miR-142-3p binding to its 3’UTR. This restricts replication and evades interferon production specifically in antigen presenting cells, thereby allowing the virus to partially escape the immune system [5]. Contrarily, hepatitis C virus (HCV) critically depends on direct interactions between the liver specific miR-122-5p and two binding site",Introduction,reviewer_calibration,medium
pmid-42129882,42129882,CVB-D attenuates experimental diabetic cardiomyopathy by alleviating mitochondrial dysfunction via the JAK1-STAT1 signaling axis in vivo and in vitro.,direct,localization_retention,direct_target,central,"The analysis was performed using a hybrid ion-trap Orbitrap liquid chromatography-tandem mass spectrometry system (Orbitrap Elite LC-MS/MS; Thermo Fisher Scientific, USA). Target bands were excised from gel strips, followed by protein extraction, desalting, lyophilization, and LC-MS/MS analysis. Raw MS data were processed using MaxQuant (v2.1) for database searchi",LC-MS/MS analysis,none,high
pmid-42117840,42117840,Beyond Free Virions: Interconnected Secretory Pathways and Reticulon 3 (RTN3) Coordinate Extracellular Vesicle Diversity for Infectious Exosome Generation.,background,ptm_degradation,incidental,incidental,"ssical release of free virions by transporting replication-competent viral nucleic acids, proteins, and lipids between cells as membrane-cloaked cargo. Because vesicle membranes can shield labile ribonucleic acid (RNA) from extracellular nucleases and alter uptake pathways, vesicle-mediated transfer may contribute to stealth dissemination in tissues with antibodies present or where virions are rapidly cleared. Notably, EVs",1. Introduction,tighten_query,medium
pmid-42095660,42095660,Replication-competent SIVcpz CRISPR screen identifies barriers to successful cross-species transmission.,indirect,ptm_degradation,pathway_or_context,supporting,"icient spread of HIV-1 group M strains is their ability to counteract human restriction factors. For example, their accessory protein Vpu evolved to antagonize tetherin (BST-2), a host factor that inhibits virion release (11, 12). Because HIV-1 group M strains are already well adapted to the human host and effectively evade innate immune defenses, they are poorly suited for identifying the antiviral mechanisms that were over",INTRODUCTION,reviewer_calibration,medium
pmid-42094387,42094387,Bloom syndrome helicase is required for efficient HIV-1 reverse transcription in macrophages.,direct,localization_retention,direct_target,central,"erse transcription complex (RTC) that includes viral reverse transcriptase (RT), nucleocapsid (NC), and integrase (IN). Several putative and suspected cellular host factors are associated with the RTC that influence reverse transcription. Factors including the RNA helicase DHX9 and DNA topoisomerase TOP1 independently enhance RT activity (5–8). In contrast, increased levels of the RNA helicase MOV10 restricts the first and secon",Introduction,none,high
pmid-42059390,42059390,Temporal transcriptomics identifies early-response and infection-condition-specific modules guiding host-directed anti-EBOV therapeutics.,direct,localization_retention,direct_target,central,"cluding the 2013–2016 West African epidemic and the 2025 Sudan virus outbreak in Uganda, highlight its ongoing threat (2, 4). Despite advances in understanding viral entry via the NPC1 receptor and therapeutic development (5–7), supportive care remains central, and universally effective antivirals are lacking (6). A comprehensive understanding of EBOV infection dynamics is currently incomplete, making it critical for developing",INTRODUCTION,none,high
pmid-42057356,42057356,Dengue Virus Capsid Protein Interaction With Nucleic Acids.,direct,localization_retention,direct_target,central,"e encapsidation [5, 14, 28]. It is responsible for the recruitment of newly synthesized viral genome to form the nucleocapsid, which subsequently buds from the endoplasmic reticulum (ER), acquiring the lipid bilayer together with the remaining viral structural proteins (E and prM) [29, 30]. Mutations deleting part of the α3 helix impaired propagation and infectivity [28]. Furthermore, single‐point mutations on residues located in the α2‐",Introduction,none,high
pmid-42013838,42013838,Systematic discovery of pro- and anti-HIV host factors in primary human CD4+ T cells.,direct,ptm_degradation,direct_target,central,"HIV, like all viruses, manipulates host cellular machinery for replication and dissemination. Host proteins that facilitate viral infection are known as proviral or dependency factors, whereas those that inhibit viral infection are referred to as antiviral or restriction factors.1–4 Modulation of these host factors represents a promising strategy to impede viral re",Introduction,none,high
pmid-42003581,42003581,Mass balance study of [(14)C]Netanasvir Phosphate in healthy Chinese participants.,indirect,localization_retention,pathway_or_context,supporting,"hanism, playing a crucial role in viral RNA replication, viral particle assembly, and secretion. It also participated in various host cell processes, including interferon resistance and apoptosis regulation. Studies have reported that NS5A inhibitors can bind to the homodimers formed by NS5A at amino acid residues NS5A (aa 33–202) and/or NS5A (aa 25–215), thereby interfering with HCV replication (7). Netanasvir Phosphate is a",INTRODUCTION,reviewer_calibration,medium
pmid-41995348,41995348,Hepatitis C virus p7 regulates Core protein processing via signal peptide peptidase to promote virion assembly.,direct,localization_retention,direct_target,central,"annel. It is comprised of two transmembrane domains connected by a short cytoplasmic loop, which enables its insertion into intracellular membranes such as the endoplasmic reticulum (ER) (6). Functionally, p7 plays a critical role in HCV particle assembly, maturation, and secretion. It has been shown to protect nascent virions from acidification within the secretory pathway, thereby facilitating the production of infectious virus particl",INTRODUCTION,none,high
pmid-41993254,41993254,Comparative analysis of flavivirus sfRNA dynamics and secondary structure.,indirect,interaction_cofactor,pathway_or_context,supporting,"ing RNAs comprising 3’-UTR RSEs (Fig. 1A). The accumulation of these small flavivirus RNAs (sfRNAs) enhances viral fitness in mammalian cells by inhibiting the interferon response (10, 11), preventing apoptosis (12), and counteracting RNAi (13). Furthermore, viruses unable to produce sfRNAs are highly attenuated in animal models (7, 14). While of long-standing interest, elucidating relationships between sfRNA structure and bio",Introduction,reviewer_calibration,low
pmid-41977311,41977311,Network Pharmacology-Guided Identification of Candida albicans Secondary Metabolites as Modulators of HIV Latency via Oncogenic Signaling Pathways.,direct,localization_retention,direct_target,central,"ntly colonizes mucosal surfaces and not only breaches epithelial barriers but also influences immune homeostasis by modulating host signaling pathways, such as NF-κB, IL-17, and MAPK signaling [9,10]. These immunomodulatory effects may influence the activation state of CD4+ T cells and cytokine environment, contributing to the establishment or reversal of HIV latency. Among the secreted metabolites, candidalysin and farne",1. Introduction,none,high
pmid-41955099,41955099,Incorporation of genome-bound cellular proteins into HIV-1 particles regulates viral infection.,direct,localization_retention,direct_target,central,"s of the viral life cycle, which starts with the transcription of viral RNAs by the host RNA polymerase II and its co-factors and continues with their capping, splicing, and polyadenylation.1 HIV-1 produces several viral RNA species that can be divided into single spliced, fully spliced, and unspliced (i.e., genome) RNAs.2 Fully spliced HIV-1 RNAs are transported to the cytoplasm using the canonical mRNA export pathways.3 Ho",Introduction,none,high
pmid-41953939,41953939,FAM134B isoform 2/RETREG1-2 defines a calnexin-TOLLIP-coupled ER-phagy pathway that restricts Ebola virus glycoprotein and is antagonized by VP40 through macro-autophagy.,direct,ptm_degradation,direct_target,central,"rivileged sites, and the continual risk of re-emergence [1]. At the cellular level, productive EBOV infection critically depends on the synthesis, folding, and trafficking of its envelope glycoprotein (GP), a heavily glycosylated class I fusion protein that matures in the endoplasmic reticulum (ER) and is essential for viral entry and infectivity [2]. The ER is a central hub for protein quality control, and aberrant or misfold",Introduction,none,high
pmid-41953938,41953938,The Kaposi's sarcoma-associated herpesvirus viral genome packaging accessory factor ORF68 forms cytoplasmic puncta dependent on the viral tyrosine kinase.,direct,localization_retention,direct_target,central,"onsistent with known cellular condensates or organelles and do not colocalize with other components of the viral packaging machinery. Using biotinylation-based proximity labeling, we identified binding partners of ORF68, including the viral tyrosine kinase ORF21. We demonstrated that ORF21 colocalizes with ORF68 cytoplasmic puncta and that ORF21 expression is required for ORF68 cytoplasmic localization during viral infection. Finally,",INTRODUCTION,none,high
