paper_id,pmid,title,evidence_tier,evidence_type,directness,target_centrality,evidence_summary,supporting_text_locator,query_feedback_signal,review_confidence,retention_role
pmid-42388639,42388639,Case Report: Neoadjuvant chemoimmunotherapy achieving pathological complete response in two cases of stage III EGFR-mutant NSCLC with high PD-L1 expression.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: discontinuation;combinations;progression;response;phase 2;phase 3,tighten_query,medium,exclude
pmid-42351448,42351448,"Post-CDK4/6 Inhibitor Therapeutic Approaches in Hormone Receptor-Positive, HER2-Negative Metastatic Breast Cancer: Current Evidence and Emerging Strategies-A Narrative Review.",direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pik3ca;progression;resistance,none,high,direct_mechanistic
pmid-42339469,42339469,Use of Next-Generation Sequencing for Highly Endocrine-Sensitive Metastatic Breast Cancer to Inform Late-Phase Treatments with Sustained Response: A Case Report.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: clinical benefit;combinations;progression;inavolisib;resistance;alpelisib,tighten_query,medium,exclude
pmid-42286162,42286162,"Identification of PI3K alpha inhibitors through large-scale virtual screening and integrated molecular modeling, biophysical characterization, and ADMET profiling.",direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched alpelisib;acquired resistance;resistance,none,high,direct_mechanistic
pmid-42194764,42194764,Capivasertib as a Therapeutic Agent for Breast Cancer: Targeting AKT to Overcome Endocrine Resistance.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;pathway reactivation;clinical benefit;progression-free;discontinuation;patient-derived,tighten_query,medium,exclude
pmid-42192452,42192452,CDK4/6 inhibitors rechallenge post-progression in HR-positive HER2-negative advanced/metastatic breast cancer patients: a meta-analysis of Kaplan-Meier-reconstructed individual-level data.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;clinical benefit;progression-free;progression;resistance;alpelisib,tighten_query,medium,exclude
pmid-42180974,42180974,Identifying research gaps in PIK3CA-mutant breast cancer: a bibliometric analysis of evolving trends and clinical applications.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched p110-alpha;alpelisib;pik3ca;drug resistance;progression;resistance;response,none,high,direct_mechanistic
pmid-42164355,42164355,Variant allele frequency as a potential marker in response to frontline systemic therapy for patients with locally advanced and metastatic urothelial carcinoma.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;progression-free;progression;resistance;biomarker;response,tighten_query,medium,exclude
pmid-42152370,42152370,PIK3CA mutation detection by circulating tumor cell sequencing guides the effective PI3K inhibitor treatment of a patient with hormone receptor-positive breast cancer transformed into triple-negative breast cancer: A case report.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pik3ca;progression;response,none,high,direct_mechanistic
pmid-42151561,42151561,Clinico-molecular predictors of durable response to immune checkpoint inhibitors (ICI) in metastatic cervical cancer (mCC).,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;clinical benefit;progression-free;discontinuation;progression;biomarker,tighten_query,medium,exclude
pmid-42147347,42147347,Common oncogenic mutations in colorectal cancer: drivers of carcinogenesis and potential therapeutic targets.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pik3ca;drug resistance;progression;resistance,none,high,direct_mechanistic
pmid-42137335,42137335,Modulation of the PI3K/Akt signaling pathway by steroidal saponins: therapeutic implications in cancer.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched alpelisib;compensatory signaling;pathway reactivation;resistance,none,high,direct_mechanistic
pmid-42122186,42122186,Genomic Predictors of Platinum Resistance and Survival in High-Grade Serous Ovarian Carcinoma: Insights from an Explorative Targeted Next-Generation Sequencing Analysis.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: treatment failure;progression;epigenetic;resistance;response;relapse,tighten_query,medium,exclude
pmid-42108204,42108204,Novel uveal melanoma patient-derived cell line and organoid models show increased treatment resistance compared with commercially available cell lines.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: patient-derived;resistance;alpelisib;response,tighten_query,medium,exclude
pmid-42082487,42082487,Targeting FGFR signaling overcomes therapeutic resistance and immune evasion in oncogenic PIK3CA-driven serous-like endometrial cancer.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: patient-derived;or combination;combinations;progression;inavolisib;resistance,tighten_query,medium,exclude
pmid-41999452,41999452,Beyond CDK4/6 Inhibition: Current Strategies in Hormone Receptor-Positive Metastatic Breast Cancer.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;adaptive feedback;clinical benefit;progression-free;discontinuation;or combination,tighten_query,medium,exclude
pmid-41989051,41989051,"Economic Evaluation of Inavolisib Combined With Palbociclib-Fulvestrant for PIK3CA-Mutated, HR+/HER2- Advanced Breast Cancer in USA.",direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pik3ca;drug resistance;resistance,none,high,direct_mechanistic
pmid-41975188,41975188,Annexin A3 potentiates lenvatinib resistance in hepatocellular carcinoma through multiple approaches amplified by a positive feedback loop.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: patient-derived;or combination;progression;resistance;alpelisib;biomarker,tighten_query,medium,exclude
pmid-41934916,41934916,Synergistic effects through targeting the PI3K and IGFR pathways in treating lung cancer carrying activation alterations along the PI3K pathway.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: patient-derived;combinations;progression;resistance;alpelisib;response,tighten_query,medium,exclude
pmid-41925922,41925922,Alpelisib and Fulvestrant in PIK3CA-mutated hormone receptor-positive HER2-negative advanced breast cancer included in the German PRAEGNANT trial.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;progression-free;discontinuation;progression;inavolisib;alpelisib,tighten_query,medium,exclude
pmid-41862468,41862468,Dalpiciclib plus chidamide in HR + /HER2-advanced breast cancer after CDK4/6 inhibitor failure: a phase Ib trial.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;treatment failure;progression-free;patient-derived;or combination;combinations,tighten_query,medium,exclude
pmid-41832434,41832434,Persistent PI3K-AKT signaling fortifies cellular defense against oxidative stress and ferroptosis through augmented mitochondrial fitness.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression;resistance;metabolic;response;immune;pik3ca,tighten_query,medium,exclude
pmid-41806134,41806134,Advancements and innovations in the molecular mechanisms and treatment of colorectal cancer.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: or combination;progression;epigenetic;resistance;biomarker;metabolic,tighten_query,medium,exclude
pmid-41802242,41802242,VIKTORIA-1 Trial of Gedatolisib Plus Fulvestrant With or Without Palbociclib in Hormone Receptor-Positive/HER2-/PIK3CA Wild-Type Advanced Breast Cancer.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;progression-free;discontinuation;combinations;progression;resistance,tighten_query,medium,exclude
pmid-41801973,41801973,Context-dependent dysregulation of store-operated calcium channels in head and neck squamous cell carcinoma.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: or combination;progression;resistance;metabolic;response;pik3ca,tighten_query,medium,exclude
pmid-41799769,41799769,Gene Mutations and Related Molecular Events in Distant Metastasis of Cervical Cancer: A Review.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;bypass signaling;clinical benefit;progression-free;progression;epigenetic,tighten_query,medium,exclude
pmid-41794007,41794007,Molecular mechanisms and therapeutic targeting implications of ER/mTOR signaling axis-driven tumor progression in aggressive meningiomas.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression;resistance;response;pik3ca;mtor;pten,tighten_query,medium,exclude
pmid-41752918,41752918,Deciphering the Genomic Landscape of Oropharyngeal Squamous Cell Carcinoma: Distinct Mutation Patterns in Disease.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: or combination;progression;epigenetic;resistance;response;immune,tighten_query,medium,exclude
pmid-41681940,41681940,Comparison Between Alpelisib Plus Endocrine Therapy and Everolimus Plus Endocrine Therapy After CDK4/6 Inhibitors Progression in Patients with PIK3CA-Mutant Metastatic Breast Cancer: A Single-Center Retrospective Study.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: discontinuation;progression;inavolisib;resistance;alpelisib;response,tighten_query,medium,exclude
pmid-41669566,41669566,Proteomics and phosphoproteomics of human colorectal cancer cells lacking a specific kinase activity reveal kinase-specific compensatory responses.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: bypass signaling;patient-derived;progression;resistance;alpelisib;metabolic,tighten_query,medium,exclude
pmid-41620612,41620612,Sequential use of PI3K/AKT/mTOR pathway inhibitors alpelisib and everolimus in patients with hormone receptor-positive metastatic breast cancer.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: treatment failure;clinical benefit;progression-free;discontinuation;progression;inavolisib,tighten_query,medium,exclude
pmid-41604817,41604817,Clinical management of common toxicities with inhibitors targeting the PI3K/AKT/mTOR pathway in breast cancer.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;progression-free;discontinuation;combinations;progression;inavolisib,tighten_query,medium,exclude
pmid-41587113,41587113,"Role of ctDNA in Predicting the Outcome of Patients with Hormone Receptor-Positive, HER2-Negative Advanced Breast Cancer Treated with First-line Ribociclib and Letrozole: BioItaLEE Trial.",exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;clinical benefit;progression-free;progression;resistance;alpelisib,tighten_query,medium,exclude
pmid-41562186,41562186,Molecular Landscape of TP53/RB1 Co-Altered Tumors Uncovers Emerging Therapeutic Vulnerabilities.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression;epigenetic;resistance;response;immune;pik3ca,tighten_query,medium,exclude
pmid-41344057,41344057,The PI3K pathway is a downstream effector of NRF2 activation in the esophagus.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: patient-derived;progression;resistance;alpelisib;metabolic;response,tighten_query,medium,exclude
pmid-41324568,41324568,Addition of Ipatasertib to Dual Anti-HER2 Maintenance Therapy in HER2-Positive Metastatic Breast Tumors with PIK3CA Mutations: The Phase Ib SOLTI-1507 IPATHER Trial.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;clinical benefit;progression-free;discontinuation;combinations;progression,tighten_query,medium,exclude
pmid-41503337,41503337,Unveiling Novel Genetic Mutations and Prognostic Indicators in Breast Carcinoma: An Analysis of The Cancer Genome Atlas (TCGA) Data.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression;epigenetic;resistance;metabolic;pik3ca;her2,tighten_query,medium,exclude
pmid-41465766,41465766,Computational Investigation Identifies mTOR as a Primary Binding Target of Medicarpin in Cholangiocarcinoma: Insights from Network Pharmacology and Molecular Docking.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression;cell-cycle;resistance;biomarker;metabolic;pik3ca,tighten_query,medium,exclude
pmid-41459869,41459869,Innovations in Oncology Diagnostics: Genetic Research and Liquid Biopsy as Tools of Personalised Medicine.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pik3ca;drug resistance;resistance;response,none,high,direct_mechanistic
pmid-41423595,41423595,"Imlunestrant, an oral selective estrogen receptor degrader, in combination with HER2 directed therapy, with or without abemaciclib, in ER-positive, HER2-positive advanced breast cancer: results from the phase 1a/1b EMBER study.",exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;clinical benefit;progression-free;discontinuation;combinations;progression,tighten_query,medium,exclude
pmid-41399494,41399494,Organoid platinum-resistance model identifies KRT17 as a biomarker of targeted therapy in ovarian cancer.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;progression-free;patient-derived;progression;resistance;alpelisib,tighten_query,medium,exclude
pmid-41373618,41373618,Targeted DNA Sequencing for Tailored Therapies in Children with Extracranial Solid Tumors.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: treatment failure;clinical benefit;discontinuation;combinations;progression;response,tighten_query,medium,exclude
pmid-41372771,41372771,Retrospective review of metastatic hormone receptor-positive inflammatory breast cancer patients reveals poor responses to cyclin dependent kinase 4/6 inhibition.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;clinical benefit;progression-free;or combination;combinations;progression,tighten_query,medium,exclude
pmid-41372143,41372143,The PIK3CA/AKT pathway drives therapy resistance in rhabdomyosarcoma.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: resistant models;patient-derived;progression;epigenetic;resistance;alpelisib,tighten_query,medium,exclude
pmid-41367952,41367952,Genomics of ovarian cancers and the potential of precision medicine.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;clinical benefit;progression-free;or combination;combinations;progression,tighten_query,medium,exclude
pmid-41367877,41367877,Caprine herpes virus-1 reduces cell viability and enhances chemosensitivity in breast cancer cells.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;progression-free;combinations;progression;inavolisib;resistance,tighten_query,medium,exclude
pmid-41315778,41315778,PIK75 effectively reverses PI3K‒AKT activation caused by palbociclib resistance and synergistically inhibits the progression of esophageal squamous cell carcinoma.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pik3ca;drug resistance;resistance,none,high,direct_mechanistic
pmid-41294853,41294853,"Ferroptosis in Anaplastic Thyroid Cancer: Molecular Mechanisms, Preclinical Evidence, and Therapeutic Prospects.",exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: clinical benefit;patient-derived;or combination;combinations;progression;resistance,tighten_query,medium,exclude
pmid-41280894,41280894,Mechanistic optimization of inavolisib combined with CDK4/6 inhibitors in the treatment of PIK3CA-mutated breast tumors.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched inavolisib;progression;resistance,none,high,direct_mechanistic
pmid-41258151,41258151,Network centric identification of PI3K/Akt hub proteins as key oncogenic drivers and therapeutic targets.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched alpelisib;adaptive resistance;resistance,none,high,direct_mechanistic
pmid-41203797,41203797,"Co-clinical trial targeting ER, FGFR and CDK4/6 in resistant hormone-positive breast cancer with FGFR alterations.",exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;biomarker-defined;progression-free;patient-derived;or combination;combinations,tighten_query,medium,exclude
pmid-41203598,41203598,The RNA N(6)-methyladenosine methylome coordinates long non-coding RNAs to mediate cancer drug resistance by activating PI3K signaling.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: patient-derived;progression;epigenetic;resistance;alpelisib;response,tighten_query,medium,exclude
pmid-41182553,41182553,"Unveiling the role of microRNAs, the PI3K/AKT pathway, and their associations in various types of leukemia: a comprehensive review.",exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;progression-free;patient-derived;or combination;progression;epigenetic,tighten_query,medium,exclude
pmid-41162674,41162674,scGSDR: Harnessing gene semantics for single-cell pharmacological profiling.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: combination trials;treatment failure;or combination;epigenetic;resistance;response,tighten_query,medium,exclude
pmid-41152656,41152656,FLT3LG as an inflammatory hub bridging tumor immune surveillance to therapy response in breast cancer.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: combinations;progression;resistance;biomarker;response;immune,tighten_query,medium,exclude
pmid-41142476,41142476,SMARCA4-deficient dedifferentiated ovarian carcinoma with rapid progression during adjuvant platinum-based chemotherapy: a case report and implications for molecular-driven treatment strategies.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression;epigenetic;resistance;alpelisib;biomarker;response,tighten_query,medium,exclude
pmid-41128012,41128012,Molecular Characteristics and Treatment Implications of TP53 Gain-of-Function Mutations in Non-Small Cell Lung Cancer.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression;resistance;biomarker;response;immune;pik3ca,tighten_query,medium,exclude
pmid-41107466,41107466,Discovering anticancer drug target combinations via network-informed signaling-based approach.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: resistant models;patient-derived;or combination;combinations;progression;resistance,tighten_query,medium,exclude
pmid-41079023,41079023,Efficacy and safety of systemic therapies following progression on CDK4/6 inhibitors in patients with HR+/HER2- metastatic breast cancer: a systematic review and network meta-analysis.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched inavolisib;alpelisib;progression;progression-free survival;progression-free,none,high,direct_mechanistic
pmid-41053651,41053651,Novel anticancer effect of substituted imidazole derivatives against urothelial carcinoma: integrating In vitro screening and molecular docking for target kinases.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression;cell-cycle;resistance;biomarker;response;immune,tighten_query,medium,exclude
pmid-41037898,41037898,"Cyclin-dependent kinase 4/6 inhibitors beyond progression in hormone receptor-positive, HER2-negative advanced breast cancer: a systematic review and meta-analysis (REIGNITE study).",direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pik3ca;progression;progression-free survival;progression-free,none,high,direct_mechanistic
pmid-41024108,41024108,Precise regulation of RAS-Mediated PI3Kα activation: therapeutic potential of BBO-10203 in cancer treatment.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression;resistance;metabolic;mtor;pi3k;akt,tighten_query,medium,exclude
pmid-41020523,41020523,AdaSemb: an adaptive knowledge-driven deep learning framework integrating cancer protein assemblies for predicting PI3Kα inhibitor response and resistance.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched alpelisib;acquired resistance;progression;resistance,none,high,direct_mechanistic
pmid-40991650,40991650,USP10/GSK3β-mediated inhibition of PTEN drives resistance to PI3K inhibitors in breast cancer.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: clinical benefit;patient-derived;epigenetic;resistance;alpelisib;metabolic,tighten_query,medium,exclude
pmid-40930104,40930104,Detection of heterogeneous resistance mechanisms to tyrosine kinase inhibitors from cell-free DNA.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: clinical benefit;combinations;progression;epigenetic;resistance;response,tighten_query,medium,exclude
pmid-40909965,40909965,"Double trouble, managing bilateral inflammatory breast cancer: a case report.",exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;clinical benefit;progression-free;discontinuation;progression;resistance,tighten_query,medium,exclude
pmid-40819062,40819062,Circulating genomic landscape following cyclin-dependent kinase 4/6 inhibitors exposure in HR + /HER2- metastatic breast cancer: a retrospective multi-institutional Consortium analysis.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;progression-free;progression;cell-cycle;resistance;response,tighten_query,medium,exclude
pmid-40761208,40761208,Heterogeneity and co-occurrence of resistance mechanisms in EGFR-TKI-induced NSCLC to SCLC transformation: a case report.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;treatment failure;clinical benefit;progression-free;progression;resistance,tighten_query,medium,exclude
pmid-40723270,40723270,Co-Occurring Genomic Alterations in NSCLC: Making Order into a Crowded List.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: progression-free survival;combination trials;bypass signaling;clinical benefit;progression-free;discontinuation,tighten_query,medium,exclude
pmid-40722937,40722937,Serine-Driven Metabolic Plasticity Drives Adaptive Resilience in Pancreatic Cancer Cells.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: treatment failure;progression;epigenetic;resistance;alpelisib;biomarker,tighten_query,medium,exclude
pmid-40714513,40714513,Circulating tumor DNA mutational landscape and dynamics after progression on a CDK4/6 inhibitor in the PACE phase II trial for metastatic HR-positive/HER2-negative breast cancer.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pik3ca;progression;resistance,none,high,direct_mechanistic
