paper_id,pmid,title,evidence_tier,evidence_type,directness,target_centrality,evidence_summary,supporting_text_locator,query_feedback_signal,review_confidence
pmid-32826860,32826860,"PAX6, modified by SUMOylation, plays a protective role in corneal endothelial injury.",comparator,ptm_degradation,same_family_comparator,supporting,PAX6 SUMOylation is experimentally evaluated in corneal endothelial injury; useful comparator evidence for PAX-family SUMO modification.,full text: PAX6 SUMOylation assays,none,medium
pmid-27144531,27144531,Ck2-Dependent Phosphorylation Is Required to Maintain Pax7 Protein Levels in Proliferating Muscle Progenitors.,comparator,ptm_degradation,same_family_comparator,central,CK2 phosphorylation maintains Pax7 protein levels by preventing ubiquitin-proteasome downregulation.,full text: CK2/Pax7 protein-level results,none,high
pmid-26304770,26304770,NEDD4 Regulates PAX7 Levels Promoting Activation of the Differentiation Program in Skeletal Muscle Precursors.,comparator,ptm_degradation,same_family_comparator,central,NEDD4 regulates Pax7 levels through ubiquitination and proteasome-sensitive turnover during muscle precursor differentiation.,full text: NEDD4/Pax7 ubiquitination results,none,high
pmid-24903325,24903325,"Phosphorylation of PAX3 contributes to melanoma phenotypes by affecting proliferation, invasion, and transformation.",comparator,ptm_degradation,same_family_comparator,supporting,PAX3 phosphorylation contributes to melanoma phenotypes; useful kinase/PTM comparator but less directly tied to degradation.,full text: PAX3 phosphorylation phenotype results,none,medium
pmid-24107448,24107448,Small molecule inhibition of PAX3-FOXO1 through AKT activation suppresses malignant phenotypes of alveolar rhabdomyosarcoma.,comparator,ptm_degradation,same_family_comparator,central,"AKT activation phosphorylates PAX3-FOXO1, inhibits transcriptional activity, and promotes proteasomal degradation.",full text: thapsigargin/AKT/PAX3-FOXO1 degradation results,none,high
pmid-23058914,23058914,Identification of CK2 as the kinase that phosphorylates Pax3 at Ser209 in early myogenic differentiation.,comparator,ptm_degradation,same_family_comparator,supporting,"CK2 phosphorylates Pax3 at Ser209 during myogenic differentiation, supporting conserved kinase control of PAX proteins.",full text: CK2/Pax3 phosphorylation identification,none,medium
pmid-21440083,21440083,Identification of serines 201 and 209 as sites of Pax3 phosphorylation and the altered phosphorylation status of Pax3-FOXO1 during early myogenic differentiation.,comparator,ptm_degradation,same_family_comparator,supporting,"Identifies Pax3 phosphorylation sites and altered phosphorylation of PAX3-FOXO1, supporting PTM mapping for PAX-family regulation.",full text: Pax3 phosphorylation sites,none,medium
pmid-21169561,21169561,Role of Pax3 acetylation in the regulation of Hes1 and Neurog2.,comparator,ptm_degradation,same_family_comparator,supporting,"Pax3 acetylation regulates neurogenic transcriptional outcomes, adding comparator evidence for PAX-family acetylation control.",full text: Pax3 acetylation mechanism,none,medium
pmid-21145483,21145483,Taf1 regulates Pax3 protein by monoubiquitination in skeletal muscle progenitors.,comparator,ptm_degradation,same_family_comparator,central,"Taf1 mediates Pax3 monoubiquitination, enabling proteasomal degradation during skeletal muscle progenitor differentiation.",full text: Taf1/Pax3 monoubiquitination results,none,high
pmid-20685816,20685816,Using protein design algorithms to understand the molecular basis of disease caused by protein-DNA interactions: the Pax6 example.,comparator,protein_folding_chaperone,same_family_comparator,supporting,Protein design analysis predicts many PAX6 paired-domain mutations impair protein stability or DNA-binding energy.,full text: PAX6 domain stability analysis,none,medium
pmid-20221250,20221250,Papillorenal syndrome-causing missense mutations in PAX2/Pax2 result in hypomorphic alleles in mouse and human.,comparator,localization_retention,same_family_comparator,supporting,"PAX2 missense variants produce hypomorphic functional defects relevant to PAX-family localization/activity, though not direct PAX8 regulation.",full text: PAX2 mutation functional assays,none,medium
pmid-19904978,19904978,"Phosphorylation of serine 205 by the protein kinase CK2 persists on Pax3-FOXO1, but not Pax3, throughout early myogenic differentiation.",comparator,ptm_degradation,same_family_comparator,supporting,CK2 phosphorylation at Pax3/PAX3-FOXO1 sites supports conserved phosphorylation control of PAX-family proteins.,full text: CK2 phosphorylation site results,none,medium
pmid-26372689,26372689,Retinoic Acid Induces Ubiquitination-Resistant RIP140/LSD1 Complex to Fine-Tune Pax6 Gene in Neuronal Differentiation.,exclude,transcriptional_context,pathway_or_context,incidental,"Full text centers on a retinoic-acid-induced RIP140/LSD1 complex regulating Pax6 gene expression during neuronal differentiation; ubiquitination evidence concerns RIP140/LSD1 rather than a regulated PAX-family protein.",full text: Introduction and RIP140/LSD1 results,reviewer_calibration,medium
pmid-22216266,22216266,Pax3 stimulates p53 ubiquitination and degradation independent of transcription.,exclude,downstream_substrate_turnover,pathway_or_context,incidental,"Full text shows Pax3 stimulates ubiquitination and degradation of p53; the regulated turnover substrate is p53, not Pax3 or another PAX-family protein.",full text: Pax3 stimulates p53 ubiquitination and degradation,reviewer_calibration,medium
pmid-16914058,16914058,The roles of calcium signaling and ERK1/2 phosphorylation in a Pax6+/- mouse model of epithelial wound-healing delay.,exclude,signaling_context,pathway_or_context,incidental,"Full text studies calcium signaling and ERK1/2 phosphorylation in Pax6 haploinsufficient corneal epithelial wound healing, without evidence for PAX-family protein stability, turnover, localization, or targetability.",full text: Background and ERK1/2 response to injury,reviewer_calibration,medium
