paper_id,pmid,pmcid,doi,title,year,publication_types,final_decision,final_rationale,selection_basis,fulltext_access_status,normalized_source_type,normalized_path,review_confidence
pmid-36860866,36860866,PMC9969136,10.3389/fimmu.2023.1089243,An arrayed CRISPR screen of primary B cells reveals the essential elements of the antibody secretion pathway.,2023,"Journal Article;Research Support, Non-U.S. Gov't",selected_for_reading,"Full text has primary-topic, declared-evidence, and outcome overlap and supports an explicit review-frame retention role.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC9969136.json,medium
pmid-36733766,36733766,PMC9888430,10.3389/fped.2022.978598,Deciphering an isolated lung phenotype of NKX2-1 frameshift pathogenic variant.,2022,Journal Article,selected_for_reading,"Full text has primary-topic, declared-evidence, and outcome overlap and supports an explicit review-frame retention role.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC9888430.json,medium
pmid-35920196,35920196,PMC9827955,10.3724/abbs.2022043,PHD3 inhibits cell proliferation through hydroxylation of PAX2 at proline 9.,2022,Journal Article,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC9827955.json,high
pmid-33777928,33777928,PMC7990767,10.3389/fcell.2021.606403,c-Abl Kinase Is Required for Satellite Cell Function Through Pax7 Regulation.,2021,Journal Article,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC7990767.json,high
pmid-32401642,32401642,PMC8143243,10.1080/15548627.2020.1752548,Autophagy in the physiological endometrium and cancer.,2021,"Journal Article;Research Support, Non-U.S. Gov't;Review",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC8143243.json,high
pmid-32115872,32115872,,10.1111/febs.15269,USP7-dependent control of myogenin stability is required for terminal differentiation in skeletal muscle progenitors.,2020,"Journal Article;Research Support, Non-U.S. Gov't",selected_for_reading,"Full text has primary-topic, declared-evidence, and outcome overlap and supports an explicit review-frame retention role.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-32115872.json,medium
pmid-32010341,32010341,PMC6966193,10.3892/etm.2019.8392,Regulation of immune response by S-1-propenylcysteine through autophagy-mediated protein degradation.,2020,Journal Article;Review,selected_for_reading,"Full text has primary-topic, declared-evidence, and outcome overlap and supports an explicit review-frame retention role.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC6966193.json,medium
pmid-31751626,31751626,,10.1016/j.mce.2019.110638,Defects in protein folding in congenital hypothyroidism.,2020,"Journal Article;Research Support, Non-U.S. Gov't;Review",selected_for_reading,"Full text has primary-topic, declared-evidence, and outcome overlap and supports an explicit review-frame retention role.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-31751626.json,medium
pmid-31738430,31738430,,10.1093/jbcr/irz190,Muscle Homeostasis Is Disrupted in Burned Adults.,2020,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-31738430.json,high
pmid-31391550,31391550,,10.1038/s41388-019-0907-2,HBx regulates transcription factor PAX8 stabilization to promote the progression of hepatocellular carcinoma.,2019,"Journal Article;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-31391550.json,high
pmid-28700649,28700649,PMC5507275,10.1371/journal.pone.0180868,Autophagy mediates cell cycle response by regulating nucleocytoplasmic transport of PAX6 in limbal stem cells under ultraviolet-A stress.,2017,Journal Article,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC5507275.json,high
pmid-27144531,27144531,PMC4856311,10.1371/journal.pone.0154919,Ck2-Dependent Phosphorylation Is Required to Maintain Pax7 Protein Levels in Proliferating Muscle Progenitors.,2016,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC4856311.json,high
pmid-27144473,27144473,PMC5019118,10.1002/stem.2396,Barx2 and Pax7 Regulate Axin2 Expression in Myoblasts by Interaction with β-Catenin and Chromatin Remodelling.,2016,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC5019118.json,high
pmid-26811269,26811269,,10.1111/pin.12387,Interaction between thyrocytes and adipose tissue in vitro.,2016,Journal Article,selected_for_reading,"Full text has primary-topic, declared-evidence, and outcome overlap and supports an explicit review-frame retention role.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-26811269.json,medium
pmid-26304770,26304770,PMC4579044,10.1002/stem.2125,NEDD4 Regulates PAX7 Levels Promoting Activation of the Differentiation Program in Skeletal Muscle Precursors.,2015,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC4579044.json,high
pmid-26024302,26024302,,10.1021/acs.chemrestox.5b00036,Arsenic and Its Methylated Metabolites Inhibit the Differentiation of Neural Plate Border Specifier Cells.,2015,"Journal Article;Research Support, N.I.H., Extramural",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-26024302.json,high
pmid-25880082,25880082,PMC4399949,10.1371/journal.pone.0124154,Mechanisms contributing to differential regulation of PAX3 downstream target genes in normal human epidermal melanocytes versus melanoma cells.,2015,"Journal Article;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC4399949.json,high
pmid-25025573,25025573,,10.1016/j.cellsig.2014.07.006,Ret finger protein mediates Pax7-induced ubiquitination of MyoD in skeletal muscle atrophy.,2014,"Journal Article;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-25025573.json,high
pmid-24645679,24645679,PMC5414850,10.1210/me.2013-1377,Wnt-independent role of β-catenin in thyroid cell proliferation and differentiation.,2014,"Journal Article;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-24645679.json,high
pmid-24613379,24613379,PMC4493911,10.1016/j.freeradbiomed.2014.02.023,Nrf2 deficiency promotes apoptosis and impairs PAX7/MyoD expression in aging skeletal muscle cells.,2014,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC4493911.json,high
pmid-24435167,24435167,,10.1158/1541-7786.MCR-13-0337,Functional heterogeneity of PAX5 chimeras reveals insight for leukemia development.,2014,"Journal Article;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-24435167.json,high
pmid-24062260,24062260,PMC4829207,10.1007/s10577-013-9381-9,"Emerin and histone deacetylase 3 (HDAC3) cooperatively regulate expression and nuclear positions of MyoD, Myf5, and Pax7 genes during myogenesis.",2013,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC4829207.json,high
pmid-23756201,23756201,,10.1016/j.mcn.2013.06.001,Hyperoxia causes reduced density of retinal astrocytes in the central avascular zone in the mouse model of oxygen-induced retinopathy.,2013,Journal Article,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-23756201.json,high
pmid-22355320,22355320,PMC3280250,10.1371/journal.pone.0030614,Functional redundancy of two Pax-like proteins in transcriptional activation of cyst wall protein genes in Giardia lamblia.,2012,"Journal Article;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC3280250.json,high
pmid-22216266,22216266,PMC3247257,10.1371/journal.pone.0029379,Pax3 stimulates p53 ubiquitination and degradation independent of transcription.,2011,"Journal Article;Research Support, N.I.H., Extramural",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC3247257.json,high
pmid-21450989,21450989,PMC3100746,10.1210/jc.2010-2341,Mutations in the NKX2.5 gene and the PAX8 promoter in a girl with thyroid dysgenesis.,2011,"Case Reports;Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-21450989.json,high
pmid-20221250,20221250,PMC2832668,10.1371/journal.pgen.1000870,Papillorenal syndrome-causing missense mutations in PAX2/Pax2 result in hypomorphic alleles in mouse and human.,2010,"Journal Article;Research Support, N.I.H., Extramural;Research Support, N.I.H., Intramural",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC2832668.json,high
pmid-20032463,20032463,PMC2844168,10.1074/jbc.M109.061861,Histone deacetylase 10 relieves repression on the melanogenic program by maintaining the deacetylation status of repressors.,2010,"Journal Article;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-20032463.json,high
pmid-20017165,20017165,,10.1002/pros.21099,The developmental expression profile of PAX2 in the murine prostate.,2010,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-20017165.json,high
pmid-20025506,20025506,,10.1089/hyb.2009.0039,Generation of a rat monoclonal antibody specific for Pax7.,2009,"Journal Article;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-20025506.json,high
pmid-19121967,19121967,PMC2702540,10.1016/j.ymgme.2008.11.163,Transcriptomic and network component analysis of glycerol kinase in skeletal muscle using a mouse model of glycerol kinase deficiency.,2009,"Journal Article;Research Support, N.I.H., Extramural",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pmc_xml,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC2702540.json,high
pmid-18974227,18974227,,10.1677/JME-08-0100,Pax8 protein stability is controlled by sumoylation.,2009,"Journal Article;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-18974227.json,high
pmid-18708529,18708529,PMC2578802,10.1110/ps.035956.108,Identification of serine 205 as a site of phosphorylation on Pax3 in proliferating but not differentiating primary myoblasts.,2008,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-18708529.json,high
pmid-18497074,18497074,,10.1007/978-0-387-69080-3_49,Proteomic analysis of autocrine/paracrine effects of human growth hormone in human mammary carcinoma cells.,2008,Journal Article,selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-18497074.json,high
pmid-18395835,18395835,PMC2747029,10.1002/dvg.20384,Cre reporter mouse expressing a nuclear localized fusion of GFP and beta-galactosidase reveals new derivatives of Pax3-expressing precursors.,2008,"Letter;Research Support, N.I.H., Extramural",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-18395835.json,high
pmid-17698292,17698292,PMC2043499,10.1016/j.bbagen.2007.06.016,The oncogenic fusion protein Pax3-FKHR has a greater post-translational stability relative to Pax3 during early myogenesis.,2007,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-17698292.json,high
pmid-17662948,17662948,,10.1016/j.cell.2007.05.044,Regulation of Pax3 by proteasomal degradation of monoubiquitinated protein in skeletal muscle progenitors.,2007,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S.",selected_for_reading,"A title, sentence, or local section-level window connects primary run entities, declared mechanism/evidence terms, and required outcome terms.",fulltext_review,readable,pdf_grobid,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pax8_protein_level_regulation_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/normalized/pmid-17662948.json,high
