paper_id,pmid,title,evidence_tier,evidence_type,directness,target_centrality,evidence_summary,supporting_text_locator,query_feedback_signal,review_confidence,retention_role
pmid-32010341,32010341,Regulation of immune response by S-1-propenylcysteine through autophagy-mediated protein degradation.,background,review_frame_context,pathway_or_context,supporting,"Paper can support introduction, field synthesis, or perspective framing under the run review frame.",document-level review-frame match: pax5;post-translational modification;protein degradation;post-translational;ubiquitination;nuclear;phosphorylation;ubiquitination,none,medium,foundational_background
pmid-31751626,31751626,Defects in protein folding in congenital hypothyroidism.,background,review_frame_context,pathway_or_context,supporting,"Paper can support introduction, field synthesis, or perspective framing under the run review frame.",document-level review-frame match: pax8;nuclear;phosphorylation;localization;degradation;retention;stability;nuclear,none,medium,foundational_background
pmid-31738430,31738430,Muscle Homeostasis Is Disrupted in Burned Adults.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax7;nuclear;nuclear,none,high,direct_mechanistic
pmid-31391550,31391550,HBx regulates transcription factor PAX8 stabilization to promote the progression of hepatocellular carcinoma.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax8;nuclear;nuclear,none,high,direct_mechanistic
pmid-31201822,31201822,A novel oleanolic acid derivative HA-19 ameliorates muscle atrophy via promoting protein synthesis and preventing protein degradation.,background,weak_or_partial_overlap,pathway_or_context,supporting,Paper may be contextual but does not clearly satisfy the run's full-text retention threshold.,matched: pax3;pax7;protein degradation;ubiquitination;nuclear,reviewer_calibration,medium,exclude
pmid-30328290,30328290,Protein imbalance in the development of skeletal muscle wasting in tumour-bearing mice.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: pax,tighten_query,medium,exclude
pmid-29475516,29475516,Exposure to microgravity for 30 days onboard Bion M1 caused muscle atrophy and impaired regeneration in murine femoral Quadriceps.,background,weak_or_partial_overlap,pathway_or_context,supporting,Paper may be contextual but does not clearly satisfy the run's full-text retention threshold.,matched: pax7;protein degradation;nuclear,reviewer_calibration,medium,exclude
pmid-29442331,29442331,Role of Zic Family Proteins in Transcriptional Regulation and Chromatin Remodeling.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: transcriptional regulation;pax,tighten_query,medium,exclude
pmid-29150011,29150011,Optimization of CRISPR/Cas9 genome editing for loss-of-function in the early chick embryo.,background,weak_or_partial_overlap,pathway_or_context,supporting,Paper may be contextual but does not clearly satisfy the run's full-text retention threshold.,matched: pax7;nuclear,reviewer_calibration,medium,exclude
pmid-28700649,28700649,Autophagy mediates cell cycle response by regulating nucleocytoplasmic transport of PAX6 in limbal stem cells under ultraviolet-A stress.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax7;nuclear;nuclear,none,high,direct_mechanistic
pmid-28251652,28251652,SIRT1 may play a crucial role in overload-induced hypertrophy of skeletal muscle.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: transcriptional control,tighten_query,medium,exclude
pmid-27748274,27748274,Level of PAX5 in differential diagnosis of non-Hodgkin's lymphoma.,background,weak_or_partial_overlap,pathway_or_context,supporting,Paper may be contextual but does not clearly satisfy the run's full-text retention threshold.,matched: pax5,reviewer_calibration,medium,exclude
pmid-27555585,27555585,Hedgehog-dependent E3-ligase Midline1 regulates ubiquitin-mediated proteasomal degradation of Pax6 during visual system development.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: pax,tighten_query,medium,exclude
pmid-27144531,27144531,Ck2-Dependent Phosphorylation Is Required to Maintain Pax7 Protein Levels in Proliferating Muscle Progenitors.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax7;nuclear;nuclear,none,high,direct_mechanistic
pmid-27144473,27144473,Barx2 and Pax7 Regulate Axin2 Expression in Myoblasts by Interaction with β-Catenin and Chromatin Remodelling.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax7;nuclear;nuclear,none,high,direct_mechanistic
pmid-26811269,26811269,Interaction between thyrocytes and adipose tissue in vitro.,background,review_frame_context,pathway_or_context,supporting,"Paper can support introduction, field synthesis, or perspective framing under the run review frame.",document-level review-frame match: pax8;nuclear;nuclear;pax8,none,medium,foundational_background
pmid-26304770,26304770,NEDD4 Regulates PAX7 Levels Promoting Activation of the Differentiation Program in Skeletal Muscle Precursors.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax7;nuclear;nuclear,none,high,direct_mechanistic
pmid-26196842,26196842,Skeletal Muscle Loss is Associated with TNF Mediated Insufficient Skeletal Myogenic Activation After Burn.,background,weak_or_partial_overlap,pathway_or_context,supporting,Paper may be contextual but does not clearly satisfy the run's full-text retention threshold.,matched: pax7;nuclear,reviewer_calibration,medium,exclude
pmid-26024302,26024302,Arsenic and Its Methylated Metabolites Inhibit the Differentiation of Neural Plate Border Specifier Cells.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax3;nuclear;nuclear,none,high,direct_mechanistic
pmid-25880082,25880082,Mechanisms contributing to differential regulation of PAX3 downstream target genes in normal human epidermal melanocytes versus melanoma cells.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax3;post-translational modification;post-translational;ubiquitination;phosphorylation;ubiquitination,none,high,direct_mechanistic
pmid-25725067,25725067,"Tbx6, Mesp-b and Ripply1 regulate the onset of skeletal myogenesis in zebrafish.",exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: pax,tighten_query,medium,exclude
pmid-25720496,25720496,Mdm2 promotes myogenesis through the ubiquitination and degradation of CCAAT/enhancer-binding protein β.,background,weak_or_partial_overlap,pathway_or_context,supporting,Paper may be contextual but does not clearly satisfy the run's full-text retention threshold.,matched: pax3;pax7;ubiquitination,reviewer_calibration,medium,exclude
pmid-25662012,25662012,EBV noncoding RNA binds nascent RNA to drive host PAX5 to viral DNA.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: transcriptional regulation;transcriptional control,tighten_query,medium,exclude
pmid-25428274,25428274,Efficient isolation of specific genomic regions retaining molecular interactions by the iChIP system using recombinant exogenous DNA-binding proteins.,background,weak_or_partial_overlap,pathway_or_context,supporting,Paper may be contextual but does not clearly satisfy the run's full-text retention threshold.,matched: pax5;nuclear,reviewer_calibration,medium,exclude
pmid-25025573,25025573,Ret finger protein mediates Pax7-induced ubiquitination of MyoD in skeletal muscle atrophy.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax7;ubiquitination;ubiquitination,none,high,direct_mechanistic
pmid-24645679,24645679,Wnt-independent role of β-catenin in thyroid cell proliferation and differentiation.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax8;nuclear;nuclear,none,high,direct_mechanistic
pmid-24613379,24613379,Nrf2 deficiency promotes apoptosis and impairs PAX7/MyoD expression in aging skeletal muscle cells.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax7;ubiquitination;ubiquitination,none,high,direct_mechanistic
pmid-24575094,24575094,Function of YY1 in Long-Distance DNA Interactions.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: transcriptional regulation,tighten_query,medium,exclude
pmid-24435167,24435167,Functional heterogeneity of PAX5 chimeras reveals insight for leukemia development.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax5;nuclear;nuclear,none,high,direct_mechanistic
pmid-24113918,24113918,"Effects of stress hormone cortisol on the mRNA expression of myogenenin, MyoD, Myf5, PAX3 and PAX7.",background,weak_or_partial_overlap,pathway_or_context,supporting,Paper may be contextual but does not clearly satisfy the run's full-text retention threshold.,matched: pax3;pax7;protein degradation,reviewer_calibration,medium,exclude
pmid-24062260,24062260,"Emerin and histone deacetylase 3 (HDAC3) cooperatively regulate expression and nuclear positions of MyoD, Myf5, and Pax7 genes during myogenesis.",direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,title: matched pax7;nuclear;nuclear,none,high,direct_mechanistic
pmid-23756201,23756201,Hyperoxia causes reduced density of retinal astrocytes in the central avascular zone in the mouse model of oxygen-induced retinopathy.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax2;nuclear;nuclear,none,high,direct_mechanistic
pmid-23544078,23544078,Constitutive expression of Yes-associated protein (Yap) in adult skeletal muscle fibres induces muscle atrophy and myopathy.,background,weak_or_partial_overlap,pathway_or_context,supporting,Paper may be contextual but does not clearly satisfy the run's full-text retention threshold.,matched: pax7;protein degradation,reviewer_calibration,medium,exclude
pmid-23379327,23379327,Identification and functional characterization of a novel mutation in the NKX2-1 gene: comparison with the data in the literature.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: transcriptional regulation,tighten_query,medium,exclude
pmid-22546857,22546857,CD19 is a major B cell receptor-independent activator of MYC-driven B-lymphomagenesis.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: transcriptional regulation,tighten_query,medium,exclude
pmid-22427346,22427346,The chemopreventive effect of mifepristone on mammary tumorigenesis is associated with an anti-invasive and anti-inflammatory gene signature.,background,weak_or_partial_overlap,pathway_or_context,supporting,Paper may be contextual but does not clearly satisfy the run's full-text retention threshold.,matched: pax8,reviewer_calibration,medium,exclude
pmid-22355320,22355320,Functional redundancy of two Pax-like proteins in transcriptional activation of cyst wall protein genes in Giardia lamblia.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax2;nuclear;localization;nuclear,none,high,direct_mechanistic
pmid-22278416,22278416,Epigenetic and copy number variation analysis in retinoblastoma by MS-MLPA.,background,weak_or_partial_overlap,pathway_or_context,supporting,Paper may be contextual but does not clearly satisfy the run's full-text retention threshold.,matched: pax5,reviewer_calibration,medium,exclude
pmid-22216266,22216266,Pax3 stimulates p53 ubiquitination and degradation independent of transcription.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,title: matched pax3;ubiquitination;ubiquitination;degradation,none,high,direct_mechanistic
pmid-21450989,21450989,Mutations in the NKX2.5 gene and the PAX8 promoter in a girl with thyroid dysgenesis.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax8;nuclear;nuclear,none,high,direct_mechanistic
pmid-20221250,20221250,Papillorenal syndrome-causing missense mutations in PAX2/Pax2 result in hypomorphic alleles in mouse and human.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax2;protein stability;steady-state;stability,none,high,direct_mechanistic
pmid-20032463,20032463,Histone deacetylase 10 relieves repression on the melanogenic program by maintaining the deacetylation status of repressors.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax3;nuclear;nuclear,none,high,direct_mechanistic
pmid-20017165,20017165,The developmental expression profile of PAX2 in the murine prostate.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax2;nuclear;nuclear,none,high,direct_mechanistic
pmid-20025506,20025506,Generation of a rat monoclonal antibody specific for Pax7.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax7;nuclear;nuclear,none,high,direct_mechanistic
pmid-19531566,19531566,"Calcineurin a-binding protein, a novel modulator of the calcineurin-nuclear factor of activated T-cell signaling pathway, is overexpressed in wilms' tumors and promotes cell migration.",exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: pax,tighten_query,medium,exclude
pmid-19121967,19121967,Transcriptomic and network component analysis of glycerol kinase in skeletal muscle using a mouse model of glycerol kinase deficiency.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax3;nuclear;nuclear,none,high,direct_mechanistic
pmid-18974227,18974227,Pax8 protein stability is controlled by sumoylation.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,title: matched pax8;protein stability;sumoylation;stability,none,high,direct_mechanistic
pmid-18829450,18829450,The solution structure of DNA-free Pax-8 paired box domain accounts for redox regulation of transcriptional activity in the pax protein family.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: transcriptional regulation;pax,tighten_query,medium,exclude
pmid-18708529,18708529,Identification of serine 205 as a site of phosphorylation on Pax3 in proliferating but not differentiating primary myoblasts.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax3;post-translational;stability,none,high,direct_mechanistic
pmid-18497074,18497074,Proteomic analysis of autocrine/paracrine effects of human growth hormone in human mammary carcinoma cells.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax5;nuclear;localization;nuclear,none,high,direct_mechanistic
pmid-18395835,18395835,Cre reporter mouse expressing a nuclear localized fusion of GFP and beta-galactosidase reveals new derivatives of Pax3-expressing precursors.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax3;nuclear;nuclear,none,high,direct_mechanistic
pmid-17698292,17698292,The oncogenic fusion protein Pax3-FKHR has a greater post-translational stability relative to Pax3 during early myogenesis.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,title: matched pax3;post-translational;stability,none,high,direct_mechanistic
pmid-17662948,17662948,Regulation of Pax3 by proteasomal degradation of monoubiquitinated protein in skeletal muscle progenitors.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax3;protein degradation;degradation,none,high,direct_mechanistic
pmid-17429055,17429055,Pax transactivation-domain interacting protein is required for urine concentration and osmotolerance in collecting duct epithelia.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax2;nuclear;nuclear,none,high,direct_mechanistic
pmid-17323927,17323927,Cooperative interactions between the two DNA binding domains of Pax3: helix 2 of the paired domain is in the proximity of the amino terminus of the homeodomain.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: pax,tighten_query,medium,exclude
pmid-17056545,17056545,Epigenetic histone modifications do not control Igkappa locus contraction and intranuclear localization in cells with dual B cell-macrophage potential.,background,weak_or_partial_overlap,pathway_or_context,supporting,Paper may be contextual but does not clearly satisfy the run's full-text retention threshold.,matched: pax5;nuclear,reviewer_calibration,medium,exclude
pmid-16885413,16885413,Akt and Mammalian target of rapamycin regulate separate systems of proteolysis in renal tubular cells.,background,review_frame_context,pathway_or_context,supporting,"Paper can support introduction, field synthesis, or perspective framing under the run review frame.",document-level review-frame match: pax2;protein degradation;phosphorylation;degradation;paired-box,none,medium,foundational_background
pmid-16494873,16494873,Sumoylation of the SOX10 transcription factor regulates its transcriptional activity.,background,review_frame_context,pathway_or_context,supporting,"Paper can support introduction, field synthesis, or perspective framing under the run review frame.",document-level review-frame match: pax3;post-translational modification;post-translational;ubiquitination;nuclear;ubiquitination;sumoylation;stability,none,medium,foundational_background
pmid-16300735,16300735,Transcriptional activity of Pax3 is co-activated by TAZ.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax3;nuclear;nuclear,none,high,direct_mechanistic
pmid-15355349,15355349,The HNF1beta transcription factor has several domains involved in nephrogenesis and partially rescues Pax8/lim1-induced kidney malformations.,background,review_frame_context,pathway_or_context,supporting,"Paper can support introduction, field synthesis, or perspective framing under the run review frame.",document-level review-frame match: pax2;pax8;nuclear;localization;nuclear;pax8,none,medium,foundational_background
pmid-15149326,15149326,Suppression of chaperone-mediated autophagy in the renal cortex during acute diabetes mellitus.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax2;nuclear;nuclear,none,high,direct_mechanistic
pmid-15143176,15143176,Paired-type homeodomain transcription factors are imported into the nucleus by karyopherin 13.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax3;nuclear;nuclear,none,high,direct_mechanistic
pmid-12401804,12401804,"PAX3-FKHR transformation increases 26 S proteasome-dependent degradation of p27Kip1, a potential role for elevated Skp2 expression.",exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: transcriptional regulation;pax,tighten_query,medium,exclude
pmid-11607823,11607823,Gene fusions involving PAX and FOX family members in alveolar rhabdomyosarcoma.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax3;nuclear;nuclear,none,high,direct_mechanistic
pmid-11244500,11244500,Regulation of Pax3 transcriptional activity by SUMO-1-modified PML.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax3;nuclear;nuclear,none,high,direct_mechanistic
pmid-11059777,11059777,Hormone-dependent tumor regression in vivo by an inducible transcriptional repressor directed at the PAX3-FKHR oncogene.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax3;nuclear;localization;nuclear,none,high,direct_mechanistic
pmid-10841026,10841026,Cyclic AMP a key messenger in the regulation of skin pigmentation.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: transcriptional regulation,tighten_query,medium,exclude
pmid-10748034,10748034,BSAP (Pax5)-importin alpha 1 (Rch1) interaction identifies a nuclear localization sequence.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,title: matched pax5;nuclear;localization;nuclear,none,high,direct_mechanistic
