paper_id,pmid,title,evidence_tier,evidence_type,directness,target_centrality,evidence_summary,supporting_text_locator,query_feedback_signal,review_confidence,retention_role
pmid-36825441,36825441,"E3 ligase Deltex2 accelerates myoblast proliferation and inhibits myoblast differentiation by targeting Pax7 and MyoD, respectively.",exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: transcriptional regulation;or pax7;pax3;pax7,tighten_query,medium,exclude
pmid-36733766,36733766,Deciphering an isolated lung phenotype of NKX2-1 frameshift pathogenic variant.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: nuclear localization;pax8,tighten_query,medium,exclude
pmid-36274837,36274837,Emerin interacts with histone methyltransferases to regulate repressive chromatin at the nuclear periphery.,exclude,weak_overlap,incidental,incidental,Full text lacks sufficient overlap with the run-specific primary entities and declared evidence needs.,title/full text weak-overlap assessment,tighten_query,medium,exclude
pmid-35920196,35920196,PHD3 inhibits cell proliferation through hydroxylation of PAX2 at proline 9.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax2;ubiquitination;ubiquitination,none,high,direct_mechanistic
pmid-34501239,34501239,Biologic and Therapeutic Implications of Genomic Alterations in Acute Lymphoblastic Leukemia.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: mechanistic;pax5,tighten_query,medium,exclude
pmid-34206382,34206382,Emerin Represses STAT3 Signaling through Nuclear Membrane-Based Spatial Control.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: transcriptional regulation;pax7,tighten_query,medium,exclude
pmid-32401642,32401642,Autophagy in the physiological endometrium and cancer.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax2;nuclear;nuclear,none,high,direct_mechanistic
pmid-34746812,34746812,Co-ingestion of carbohydrate and whey protein induces muscle strength and myofibrillar protein accretion without a requirement of satellite cell activation.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: pax,tighten_query,medium,exclude
pmid-33117128,33117128,Gene Expression Profile at the Motor Endplate of the Neuromuscular Junction of Fast-Twitch Muscle.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: nuclear localization;pax3,tighten_query,medium,exclude
pmid-32010341,32010341,Regulation of immune response by S-1-propenylcysteine through autophagy-mediated protein degradation.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: or degradation;pax5,tighten_query,medium,exclude
pmid-30328290,30328290,Protein imbalance in the development of skeletal muscle wasting in tumour-bearing mice.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: pax7;pax,tighten_query,medium,exclude
pmid-29681515,29681515,The Dystrophin Glycoprotein Complex Regulates the Epigenetic Activation of Muscle Stem Cell Commitment.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax7;nuclear;nuclear,none,high,direct_mechanistic
pmid-29150011,29150011,Optimization of CRISPR/Cas9 genome editing for loss-of-function in the early chick embryo.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: nuclear localization;or degradation;or pax7;pax7,tighten_query,medium,exclude
pmid-28700649,28700649,Autophagy mediates cell cycle response by regulating nucleocytoplasmic transport of PAX6 in limbal stem cells under ultraviolet-A stress.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax7;nuclear;nuclear,none,high,direct_mechanistic
pmid-27748274,27748274,Level of PAX5 in differential diagnosis of non-Hodgkin's lymphoma.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: pax5,tighten_query,medium,exclude
pmid-27144531,27144531,Ck2-Dependent Phosphorylation Is Required to Maintain Pax7 Protein Levels in Proliferating Muscle Progenitors.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax7;nuclear;nuclear,none,high,direct_mechanistic
pmid-27144473,27144473,Barx2 and Pax7 Regulate Axin2 Expression in Myoblasts by Interaction with β-Catenin and Chromatin Remodelling.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax7;nuclear;nuclear,none,high,direct_mechanistic
pmid-26304770,26304770,NEDD4 Regulates PAX7 Levels Promoting Activation of the Differentiation Program in Skeletal Muscle Precursors.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax7;nuclear;nuclear,none,high,direct_mechanistic
pmid-26196842,26196842,Skeletal Muscle Loss is Associated with TNF Mediated Insufficient Skeletal Myogenic Activation After Burn.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: mechanistic;pax7,tighten_query,medium,exclude
pmid-25662012,25662012,EBV noncoding RNA binds nascent RNA to drive host PAX5 to viral DNA.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: transcriptional regulation;transcriptional control;nuclear localization;mechanistic;pax3;pax5,tighten_query,medium,exclude
pmid-25428274,25428274,Efficient isolation of specific genomic regions retaining molecular interactions by the iChIP system using recombinant exogenous DNA-binding proteins.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: nuclear localization;pax5,tighten_query,medium,exclude
pmid-24062260,24062260,"Emerin and histone deacetylase 3 (HDAC3) cooperatively regulate expression and nuclear positions of MyoD, Myf5, and Pax7 genes during myogenesis.",direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,title: matched pax7;nuclear;nuclear,none,high,direct_mechanistic
pmid-23544078,23544078,Constitutive expression of Yes-associated protein (Yap) in adult skeletal muscle fibres induces muscle atrophy and myopathy.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: or degradation;pax7,tighten_query,medium,exclude
pmid-22427346,22427346,The chemopreventive effect of mifepristone on mammary tumorigenesis is associated with an anti-invasive and anti-inflammatory gene signature.,exclude,off_scope_or_deferred_context,incidental,incidental,Full text does not provide enough primary objective evidence after applying run-specific exclusions.,matched exclusion/deferred terms: pax8,tighten_query,medium,exclude
pmid-22355320,22355320,Functional redundancy of two Pax-like proteins in transcriptional activation of cyst wall protein genes in Giardia lamblia.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax2;nuclear;localization;nuclear,none,high,direct_mechanistic
pmid-22216266,22216266,Pax3 stimulates p53 ubiquitination and degradation independent of transcription.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,title: matched pax3;ubiquitination;ubiquitination;degradation,none,high,direct_mechanistic
pmid-20221250,20221250,Papillorenal syndrome-causing missense mutations in PAX2/Pax2 result in hypomorphic alleles in mouse and human.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax2;protein stability;steady-state;stability,none,high,direct_mechanistic
pmid-19525924,19525924,PAX2 expression in low malignant potential ovarian tumors and low-grade ovarian serous carcinomas.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax2;nuclear;nuclear,none,high,direct_mechanistic
pmid-19121967,19121967,Transcriptomic and network component analysis of glycerol kinase in skeletal muscle using a mouse model of glycerol kinase deficiency.,direct,run_declared_mechanism,direct_target,central,Paper contains direct full-text evidence tied to the run objective and declared evidence class.,full text: matched pax3;nuclear;nuclear,none,high,direct_mechanistic
