paper_id,pmid,doi,title,year,priority,evidence_category,learned_criteria_matched,shortlist_rationale
pmid-21357426,21357426,10.1074/jbc.M110.176289,Histone acetyltransferase p300 acetylates Pax5 and strongly enhances Pax5-mediated transcriptional activity.,2011,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-22446594,22446594,,Regulation of Pax7 protein levels by caspase-3 and proteasome activity in differentiating myoblasts.,2011,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-22593617,22593617,10.4049/jimmunol.1103039,B cell receptor-ERK1/2 signal cancels PAX5-dependent repression of BLIMP1 through PAX5 phosphorylation: a mechanism of antigen-triggering plasma cell differentiation.,2012,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-22330340,22330340,10.1038/labinvest.2012.10,"Downregulation of microRNAs miR-1, -206 and -29 stabilizes PAX3 and CCND2 expression in rhabdomyosarcoma.",2012,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-22290434,22290434,10.1128/MCB.06257-11,Phosphorylation of BRN2 modulates its interaction with the Pax3 promoter to control melanocyte migration and proliferation.,2012,high,strong_learned_match,pax2 hydroxylation; pax family protein levels; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-23247248,23247248,10.1007/s00018-012-1220-1,SUMOylation of Pax7 is essential for neural crest and muscle development.,2013,high,strong_learned_match,pax2 hydroxylation; pax family protein levels; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-25025573,25025573,10.1016/j.cellsig.2014.07.006,Ret finger protein mediates Pax7-induced ubiquitination of MyoD in skeletal muscle atrophy.,2014,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-26329581,26329581,10.1126/scisignal.aab1995,The E3 ligase APC/C(Cdh1) promotes ubiquitylation-mediated proteolysis of PAX3 to suppress melanocyte proliferation and melanoma growth.,2015,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-27555585,27555585,10.1073/pnas.1600770113,Hedgehog-dependent E3-ligase Midline1 regulates ubiquitin-mediated proteasomal degradation of Pax6 during visual system development.,2016,high,strong_learned_match,pax2 hydroxylation; pax family protein levels; ubiquitination; monoubiquitination; proteasomal degradation; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-27181361,27181361,10.1016/j.bbrc.2016.05.067,PAX5 tyrosine phosphorylation by SYK co-operatively functions with its serine phosphorylation to cancel the PAX5-dependent repression of BLIMP1: A mechanism for antigen-triggered plasma cell differentiation.,2016,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-29607880,29607880,10.1266/ggs.17-00057,A novel nuclear localization signal spans the linker of the two DNA-binding subdomains in the conserved paired domain of Pax6.,2018,high,strong_learned_match,pax2 hydroxylation; pax family protein levels; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-30636604,30636604,10.2174/1566524019666190111153310,"Analysis of Non-Sumoylated and Sumoylated Isoforms of Pax-6, the Master Regulator for Eye and Brain Development in Ocular Cell Lines.",2018,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-29205612,29205612,10.1111/imb.12363,Homeodomain-interacting protein kinase phosphorylates the Drosophila Paired box protein 6 (Pax6) homologues Twin of eyeless and Eyeless.,2018,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-29317485,29317485,10.1523/JNEUROSCI.1545-17.2017,"Meis1 Coordinates Cerebellar Granule Cell Development by Regulating Pax6 Transcription, BMP Signaling and Atoh1 Degradation.",2018,high,strong_learned_match,pax3-foxo1 targeted degradation by protac; pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-29079520,29079520,10.1016/j.bbadis.2017.10.026,Zac1/GPR39 phosphorylating CaMK-II contributes to the distinct roles of Pax3 and Pax7 in myogenic progression.,2018,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-30526042,30526042,10.1096/fj.201801977R,Activating β-catenin/Pax6 axis negatively regulates osteoclastogenesis by selectively inhibiting phosphorylation of p38/MAPK.,2019,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-31391550,31391550,10.1038/s41388-019-0907-2,HBx regulates transcription factor PAX8 stabilization to promote the progression of hepatocellular carcinoma.,2019,high,strong_learned_match,pax8 sumoylation; pax8 protein stability; pax8 stabilization; ubiquitination; sumoylation; desumoylation; phosphorylation; pax8; degradation; pax,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-31888889,31888889,10.1158/0008-5472.CAN-19-1479,Aurora A Kinase Inhibition Destabilizes PAX3-FOXO1 and MYCN and Synergizes with Navitoclax to Induce Rhabdomyosarcoma Cell Death.,2020,high,strong_learned_match,pax3-foxo1 targeted degradation by protac; pax2 hydroxylation; pax family protein levels; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-34428276,34428276,10.1093/brain/awab134,Amyloid-β toxicity modulates tau phosphorylation through the PAX6 signalling pathway.,2021,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-35766845,35766845,10.1051/medsci/2022073,[PAX7 acetylation controls muscle stem cell self-renewal].,2022,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-37116471,37116471,10.1016/j.cell.2023.03.018,Regulation of Pax3 by Proteasomal Degradation of Monoubiquitinated Protein in Skeletal Muscle Progenitors.,2023,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; proteasomal degradation; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-39256480,39256480,10.1038/s41423-024-01213-2,Rack1 regulates B-cell development and function by binding to and stabilizing the transcription factor Pax5.,2024,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-39179932,39179932,10.1038/s41590-024-01933-7,"Transcriptional function of E2A, Ebf1, Pax5, Ikaros and Aiolos analyzed by in vivo acute protein degradation in early B cell development.",2024,high,strong_learned_match,pax2 hydroxylation; pax family protein levels; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-40119193,40119193,10.1038/s41590-025-02139-1,"Author Correction: Transcriptional function of E2A, Ebf1, Pax5, Ikaros and Aiolos analyzed by in vivo acute protein degradation in early B cell development.",2025,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-40834970,40834970,10.1016/j.yexcr.2025.114709,Inhibition of HMGN2 SUMOylation ameliorates atherosclerosis by activating PAX5 expression to induce macrophage M2 polarization.,2025,high,strong_learned_match,pax3-foxo1 targeted degradation by protac; pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-42342900,42342900,10.1038/s41418-026-01789-4,Inhibition of Pax6 sumoylation suppresses the tumorigenicity of pancreatic cancer cells.,2026,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-41951061,41951061,10.1016/j.mcp.2026.102070,ZMIZ1 promotes PAX6 ubiquitination through SMAD3 to drive the malignant progression of acute myeloid leukemia.,2026,high,strong_learned_match,pax2 hydroxylation; ubiquitination; monoubiquitination; sumoylation; desumoylation; phosphorylation; acetylation; hydroxylation; protac; nuclear,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
