paper_id,pmid,doi,title,year,publication_types,priority,evidence_category,learned_criteria_matched,shortlist_rationale
pmid-25724261,25724261,10.1016/j.lungcan.2015.01.023,Multiple resistant factors in lung cancer with primary resistance to EGFR-TK inhibitors confer poor survival.,2015,"Journal Article;Research Support, Non-U.S. Gov't",high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance; pi3k-alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-25453219,25453219,10.1016/j.jbior.2014.09.016,"Roles of signaling pathways in drug resistance, cancer initiating cells and cancer progression and metastasis.",2015,"Journal Article;Research Support, Non-U.S. Gov't",high,strong_learned_match,pik3ca; progression; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; cancers; pi3k alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-28108151,28108151,10.1016/j.eururo.2017.01.021,A Functional Genetic Screen Identifies the Phosphoinositide 3-kinase Pathway as a Determinant of Resistance to Fibroblast Growth Factor Receptor Inhibitors in FGFR Mutant Urothelial Cell Carcinoma.,2017,"Journal Article;Research Support, Non-U.S. Gov't",high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; feedback activation; pi3k; cancers; pi3k alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-28782530,28782530,10.1016/j.lfs.2017.08.001,"Chemotherapeutics-resistance ""arms"" race: An update on mechanisms involved in resistance limiting EGFR inhibitors in lung cancer.",2017,Journal Article;Review,high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance; pi3k-alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-28495808,28495808,10.1634/theoncologist.2016-0287,Comprehensive Genomic Profiling of Esthesioneuroblastoma Reveals Additional Treatment Options.,2017,Case Reports;Journal Article,high,strong_learned_match,pik3ca; progression; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-28280620,28280620,10.21037/jgo.2017.01.14,"Potential actionable targets in appendiceal cancer detected by immunohistochemistry, fluorescent in situ hybridization, and mutational analysis.",2017,Journal Article,high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; cancers; endocrine resistance; pi3k alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-29223745,29223745,10.1016/S1470-2045(17)30688-5,"Buparlisib plus fulvestrant in postmenopausal women with hormone-receptor-positive, HER2-negative, advanced breast cancer progressing on or after mTOR inhibition (BELLE-3): a randomised, double-blind, placebo-controlled, phase 3 trial.",2018,"Clinical Trial, Phase III;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, Non-U.S. Gov't",high,strong_learned_match,pik3ca; progression; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; adaptive resistance; feedback activation; bypass signaling,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-29850984,29850984,10.1007/s10549-018-4792-0,Phase I study of alpelisib (BYL-719) and trastuzumab emtansine (T-DM1) in HER2-positive metastatic breast cancer (MBC) after trastuzumab and taxane therapy.,2018,"Clinical Trial, Phase I;Journal Article",high,strong_learned_match,pik3ca; progression; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; rly-2608; pi3k; ctdna,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-29550144,29550144,10.1016/j.abb.2018.03.015,miR-19b-3p inhibits breast cancer cell proliferation and reverses saracatinib-resistance by regulating PI3K/Akt pathway.,2018,"Journal Article;Research Support, Non-U.S. Gov't",high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance; pi3k-alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-31780379,31780379,10.1016/j.clbc.2019.06.017,Practical Treatment Strategies and Future Directions After Progression While Receiving CDK4/6 Inhibition and Endocrine Therapy in Advanced HR(+)/HER2(-) Breast Cancer.,2020,Journal Article,high,strong_learned_match,pik3ca; progression; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; rly-2608; pi3k; ctdna,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-33213227,33213227,10.1080/17425255.2021.1844662,"A pharmacokinetic evaluation of alpelisib for the treatment of HR+, HER2-negative, PIK3CA-mutated advanced or metastatic breast cancer.",2021,Journal Article;Review,high,strong_learned_match,pik3ca; progression; drug resistance; alpelisib; inavolisib; rly-2608; pi3k; cancers; ctdna; endocrine resistance,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-34249433,34249433,,A tipping-point for apoptosis following dual inhibition of HER2 signaling network by T-DM1 plus GDC-0980 maximizes anti-tumor efficacy.,2021,Journal Article,high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance; pi3k-alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-35133871,35133871,10.1200/JCO.21.01648,Phase II Study of Copanlisib in Patients With Tumors With PIK3CA Mutations: Results From the NCI-MATCH ECOG-ACRIN Trial (EAY131) Subprotocol Z1F.,2022,"Clinical Trial, Phase II;Journal Article;Research Support, Non-U.S. Gov't;Research Support, N.I.H., Extramural;Adaptive Clinical Trial",high,strong_learned_match,pik3ca; progression; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; cancers; pi3k alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-36195678,36195678,10.1007/s00268-022-06738-z,Ferroptosis Inducers in Thyroid Cancer.,2023,"Journal Article;Research Support, Non-U.S. Gov't",high,strong_learned_match,pik3ca; progression; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; cancers; pi3k alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-36605843,36605843,10.1007/s13691-022-00573-8,Lenvatinib-refractory thymic mucinous carcinoma with PIK3CA mutation.,2023,Case Reports;Journal Article,high,strong_learned_match,pik3ca; progression; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-40203765,40203765,10.1016/j.ejca.2025.115397,"Inavolisib plus letrozole or fulvestrant in PIK3CA-mutated, hormone receptor-positive, HER2-negative advanced or metastatic breast cancer (GO39374): An open-label, multicentre, dose-escalation and dose-expansion phase 1/1b study.",2025,"Journal Article;Multicenter Study;Clinical Trial, Phase I",high,strong_learned_match,pik3ca; progression; drug resistance; alpelisib; inavolisib; rly-2608; pi3k; ctdna; endocrine resistance; pi3k alpha,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-39687977,39687977,10.1111/his.15395,Recent advancements in biomarkers and molecular diagnostics in hormonal receptor-positive breast cancer.,2025,Journal Article;Review,high,strong_learned_match,pik3ca; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; cancers; pi3k alpha; resistance,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-42307901,42307901,10.1097/CAD.0000000000001831,Inavolisib and lenvatinib for PIK3CA-mutated refractory splenic angiosarcoma: a case report.,2026,Journal Article,high,strong_learned_match,pik3ca; progression; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; pi3k; pi3k alpha; resistance,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-42310133,42310133,10.1038/s41598-026-57604-0,"Multitargeted comparative evaluation suggests 2-Aoeobenoxmide shows favourable in silico binding compared to Tucatinib against ERα, HER2, AKT1, EGFR, and PIK3CA in breast cancer.",2026,Journal Article,high,strong_learned_match,pik3ca; progression; acquired resistance; drug resistance; alpelisib; intrinsic resistance; inavolisib; adaptive resistance; feedback activation; bypass signaling,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
pmid-41902997,41902997,10.1007/s12094-026-04314-8,The logarithmic phase as a therapeutic direction: evaluating pharmacological strategies against cancer progression.,2026,Journal Article;Review,high,strong_learned_match,pik3ca; progression; drug resistance; alpelisib; inavolisib; adaptive resistance; feedback activation; bypass signaling; compensatory signaling; rly-2608,Request PDF: title/abstract matches multiple PMC-learned criteria plus run-objective terms.
